row_label_raw,row_label_full,col_0,"Quỹ khen thưởng,phúc lợi",Quỹ thưởngBan điều hành,Tổng,"numeric__Quỹ khen thưởng,phúc lợi",numeric__Quỹ thưởngBan điều hành,numeric__Tổng
,,,VND,VND,VND,,,
Số đầu năm,Số đầu năm,Số đầu năm,428.759.644.704,2.787.749.976,431.547.394.680,428759644704.0,2787749976.0,431547394680.0
Tăng từ lợi nhuận,Tăng từ lợi nhuận,Tăng từ lợi nhuận,281.710.572.113,148.680.000,281.859.252.113,281710572113.0,148680000.0,281859252113.0
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,(699.781.340.478),(2.936.429.976),(702.717.770.454),-699781340478.0,-2936429976.0,-702717770454.0
Số cuối năm,Số cuối năm,Số cuối năm,10.688.876.339,-,10.688.876.339,10688876339.0,,10688876339.0
