row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chỉ phí công cụ dụng cụ,Ngắn hạn > Chỉ phí công cụ dụng cụ,Chỉ phí công cụ dụng cụ,15.112.357.884,18.425.774.734,15112357884.0,18425774734.0
Chỉ phí bảo hiểm,Ngắn hạn > Chỉ phí bảo hiểm,Chỉ phí bảo hiểm,6.545.547.550,4.263.149.035,6545547550.0,4263149035.0
Chỉ phí khác,Ngắn hạn > Chỉ phí khác,Chỉ phí khác,3.436.795.113,9.812.782.014,3436795113.0,9812782014.0
,,,25.094.700.547,32.501.705.783,25094700547.0,32501705783.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Đền bù giải phóng mặt bằng dự án sản dỗT2 Cảng hàng không quốc tế Nội Bài,Dài hạn > Đền bù giải phóng mặt bằng dự án sản dỗT2 Cảng hàng không quốc tế Nội Bài,Đền bù giải phóng mặt bằng dự án sản dỗT2 Cảng hàng không quốc tế Nội Bài,243.100.000.000,,243100000000.0,
Đền bù giải phóng mặt bằng dự án mở rộng phía Bắc Cảng hàng không quốc tế Đà Nẵng,Dài hạn > Đền bù giải phóng mặt bằng dự án mở rộng phía Bắc Cảng hàng không quốc tế Đà Nẵng,Đền bù giải phóng mặt bằng dự án mở rộng phía Bắc Cảng hàng không quốc tế Đà Nẵng,20.447.231.836,20.447.231.836,20447231836.0,20447231836.0
Đền bù giải phóng mặt bằng dự án mở rộngCảng hàng không quốc tế Đà Nẵng,Dài hạn > Đền bù giải phóng mặt bằng dự án mở rộngCảng hàng không quốc tế Đà Nẵng,Đền bù giải phóng mặt bằng dự án mở rộngCảng hàng không quốc tế Đà Nẵng,12.258.823.680,12.258.823.680,12258823680.0,12258823680.0
Chi phí công cụ dụng cụ,Dài hạn > Chi phí công cụ dụng cụ,Chi phí công cụ dụng cụ,22.804.563.171,23.707.519.857,22804563171.0,23707519857.0
Tiền thuê sân đậu máy bay,Dài hạn > Tiền thuê sân đậu máy bay,Tiền thuê sân đậu máy bay,816.444.444,8.164.444.444,816444444.0,8164444444.0
Tiền thuê đất và thuế đất,Dài hạn > Tiền thuê đất và thuế đất,Tiền thuê đất và thuế đất,170.000.000,170.000.000,170000000.0,170000000.0
Chi phí khác,Dài hạn > Chi phí khác,Chi phí khác,5.175.783.654,5.299.961.570,5175783654.0,5299961570.0
,,,304.772.846.785,70.047.981.387,304772846785.0,70047981387.0
