row_label_raw,row_label_full,col_0,Năm nayVND,Năm trước(Trình bày lại)VND,numeric__Năm nayVND,numeric__Năm trước(Trình bày lại)VND
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,3.074.424.965.877,2.584.675.216.899,3074424965877.0,2584675216899.0
"Chi phí vật liệu, đồ dùng văn phòng","Chi phí vật liệu, đồ dùng văn phòng","Chi phí vật liệu, đồ dùng văn phòng",107.753.064.132,101.507.665.596,107753064132.0,101507665596.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,3.920.049.354.483,3.913.503.836.142,3920049354483.0,3913503836142.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",101.870.668.985,106.027.743.676,101870668985.0,106027743676.0
Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,400.642.511.014,375.197.744.290,400642511014.0,375197744290.0
"Chi phí điều hành, thương quyền","Chi phí điều hành, thương quyền","Chi phí điều hành, thương quyền",233.002.093.890,174.635.222.139,233002093890.0,174635222139.0
"Chi phí bảo hiểm hàng không,phi hàng không","Chi phí bảo hiểm hàng không,phi hàng không","Chi phí bảo hiểm hàng không,phi hàng không",21.749.388.955,21.111.239.457,21749388955.0,21111239457.0
"Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc",466.729.890.777,411.556.018.308,466729890777.0,411556018308.0
Chi phí dịch vụ mua ngoài khác,Chi phí dịch vụ mua ngoài khác,Chi phí dịch vụ mua ngoài khác,308.887.202.530,264.255.662.504,308887202530.0,264255662504.0
"Chi hoa hồng, môi giới","Chi hoa hồng, môi giới","Chi hoa hồng, môi giới",162.290.859.539,144.642.175.442,162290859539.0,144642175442.0
Chi phí phúc lợi cho người lao động,Chi phí phúc lợi cho người lao động,Chi phí phúc lợi cho người lao động,181.298.316.295,147.324.851.235,181298316295.0,147324851235.0
Phí nhượng quyền khai thác,Phí nhượng quyền khai thác,Phí nhượng quyền khai thác,216.674.765.776,188.498.510.545,216674765776.0,188498510545.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,282.846.059.951,227.679.802.351,282846059951.0,227679802351.0
Hoàn nhập dự phòng nợ phải thu khó đòi,Hoàn nhập dự phòng nợ phải thu khó đòi,Hoàn nhập dự phòng nợ phải thu khó đòi,(17.424.000),(120.883.121),-17424000.0,-120883121.0
,,,9.478.201.718.204,8.660.494.805.463,9478201718204.0,8660494805463.0
