row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Số đã trình bày VND,Số trình bày lại VND,Thay đổi VND,numeric__Mã số,numeric__Số đã trình bày VND,numeric__Số trình bày lại VND,numeric__Thay đổi VND
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,7.574.998.251.567,7.618.175.620.385,43.177.368.818,1.0,7574998251567.0,7618175620385.0,43177368818.0
Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,02,3.960.918.368.666,3.880.344.656.048,(80.573.712.618),2.0,3960918368666.0,3880344656048.0,-80573712618.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,10.604.345.833.660,10.566.949.489.860,(37.396.343.800),8.0,10604345833660.0,10566949489860.0,-37396343800.0
Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,09,(177.217.802.190),(193.879.872.123),(16.662.069.933),9.0,-177217802190.0,-193879872123.0,-16662069933.0
Thay đổi hàng tồn kho,Thay đổi hàng tồn kho,Thay đổi hàng tồn kho,10,(61.561.928.410),(61.497.636.138),64.292.272,10.0,-61561928410.0,-61497636138.0,64292272.0
Thay đổi các khoản phải trả,Thay đổi các khoản phải trả,Thay đổi các khoản phải trả,11,366.761.032.591,424.449.615.007,57.688.582.416,11.0,366761032591.0,424449615007.0,57688582416.0
Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,12,(26.095.822.714),(26.774.597.158),(678.774.444),12.0,-26095822714.0,-26774597158.0,-678774444.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,7.932.681.835.650,7.935.697.522.161,3.015.686.511,20.0,7932681835650.0,7935697522161.0,3015686511.0
"Tiền chi mua sắm, xây dựng tải sản cố định","Tiền chi mua sắm, xây dựng tải sản cố định","Tiền chi mua sắm, xây dựng tải sản cố định",21,(2.019.795.604.056),(2.008.022.568.413),11.773.035.643,21.0,-2019795604056.0,-2008022568413.0,11773035643.0
"Tiền thu lãi tiền gửi, cổ tức và lợi nhuận được chia","Tiền thu lãi tiền gửi, cổ tức và lợi nhuận được chia","Tiền thu lãi tiền gửi, cổ tức và lợi nhuận được chia",27,1.454.141.429.866,1.439.352.707.712,(14.788.722.154),27.0,1454141429866.0,1439352707712.0,-14788722154.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(6.732.329.381.580),(6.735.345.068.091),(3.015.686.511),30.0,-6732329381580.0,-6735345068091.0,-3015686511.0
