row_label_raw,row_label_full,col_0,Số cuối nămVND,Số dấu nămVND,numeric__Số cuối nămVND,numeric__Số dấu nămVND
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,
Công ty cổ phần Vận tải Hàng không Miền Nam,Phải thu khác > Công ty cổ phần Vận tải Hàng không Miền Nam,Công ty cổ phần Vận tải Hàng không Miền Nam,756.636,-,756636.0,
Công ty cổ phần Dịch vụ Hàng không Sản bay Tân Sơn Nhất,Phải thu khác > Công ty cổ phần Dịch vụ Hàng không Sản bay Tân Sơn Nhất,Công ty cổ phần Dịch vụ Hàng không Sản bay Tân Sơn Nhất,652.500.000,-,652500000.0,
,,,653.256.636,-,653256636.0,
Phải trả nhà cung cấp,Phải trả nhà cung cấp,Phải trả nhà cung cấp,Phải trả nhà cung cấp,Phải trả nhà cung cấp,,
Công ty cổ phần Dịch vụ Hàng không Sản bay Tân Sơn Nhất,Phải trả nhà cung cấp > Công ty cổ phần Dịch vụ Hàng không Sản bay Tân Sơn Nhất,Công ty cổ phần Dịch vụ Hàng không Sản bay Tân Sơn Nhất,2.907.133.300,2.490.032.950,2907133300.0,2490032950.0
Công ty cổ phần Phục vụ Mặt đất Sài Gòn,Phải trả nhà cung cấp > Công ty cổ phần Phục vụ Mặt đất Sài Gòn,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,-,200.261.100,,200261100.0
Công ty cổ phần Phục vụ Mặt đất Hà Nội,Phải trả nhà cung cấp > Công ty cổ phần Phục vụ Mặt đất Hà Nội,Công ty cổ phần Phục vụ Mặt đất Hà Nội,657.882.225,443.387.340,657882225.0,443387340.0
Công ty cổ phần Vận tải Hàng không Miền Nam,Phải trả nhà cung cấp > Công ty cổ phần Vận tải Hàng không Miền Nam,Công ty cổ phần Vận tải Hàng không Miền Nam,73.606.506,42.422.870,73606506.0,42422870.0
Công ty cổ phần Dịch vụ Hàng hóa Hàng không Việt Nam,Phải trả nhà cung cấp > Công ty cổ phần Dịch vụ Hàng hóa Hàng không Việt Nam,Công ty cổ phần Dịch vụ Hàng hóa Hàng không Việt Nam,32.643.050,20.493.088,32643050.0,20493088.0
Công ty cổ phần Thương mại Hàng không Miền Nam,Phải trả nhà cung cấp > Công ty cổ phần Thương mại Hàng không Miền Nam,Công ty cổ phần Thương mại Hàng không Miền Nam,80.324.000,80.110.999,80324000.0,80110999.0
,,,3.751.589.081,3.276.708.347,3751589081.0,3276708347.0
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,,
Công ty cổ phần Dịch vụ Hàng không Sản bay Tân Sơn Nhất,Phải trả khác > Công ty cổ phần Dịch vụ Hàng không Sản bay Tân Sơn Nhất,Công ty cổ phần Dịch vụ Hàng không Sản bay Tân Sơn Nhất,-,64.982.500,,64982500.0
,,,-,64.982.500,,64982500.0
