row_label_raw,row_label_full,TÀI SẢN,Mã số,Số đã trình bày VND,Số trình bày lại VND,Thay đổi VND,numeric__Mã số,numeric__Số đã trình bày VND,numeric__Số trình bày lại VND,numeric__Thay đổi VND
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,2.488.058.007.978,2.490.721.586.665,2.663.578.687,131.0,2488058007978.0,2490721586665.0,2663578687.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,3.285.313.982.587,3.312.270.750.951,26.956.768.364,136.0,3285313982587.0,3312270750951.0,26956768364.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,469.505.846.539,469.441.554.267,(64.292.272),141.0,469505846539.0,469441554267.0,-64292272.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,194.016.386.385,190.948.883.103,(3.067.503.282),152.0,194016386385.0,190948883103.0,-3067503282.0
Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,153,73.039.213.886,63.148.440.050,(9.890.773.836),153.0,73039213886.0,63148440050.0,-9890773836.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,18.375.300.653.351,18.443.956.413.054,68.655.759.703,221.0,18375300653351.0,18443956413054.0,68655759703.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,40.099.569.582.515,40.087.651.629.600,(11.917.952.915),222.0,40099569582515.0,40087651629600.0,-11917952915.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,(21.724.268.929.164),(21.643.695.216.546),80.573.712.618,223.0,-21724268929164.0,-21643695216546.0,80573712618.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,591.404.310.929,591.549.228.201,144.917.272,242.0,591404310929.0,591549228201.0,144917272.0
"Dầu tư vào công ty liên doanh, liên kết","Dầu tư vào công ty liên doanh, liên kết","Dầu tư vào công ty liên doanh, liên kết",252,2.607.868.801.651,2.622.657.523.805,14.788.722.154,252.0,2607868801651.0,2622657523805.0,14788722154.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,69.369.206.943,70.047.981.387,678.774.444,261.0,69369206943.0,70047981387.0,678774444.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,73.947.811.538,141.397.521.391,67.449.709.853,313.0,73947811538.0,141397521391.0,67449709853.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,888.121.886.480,884.038.488.376,(4.083.398.104),315.0,888121886480.0,884038488376.0,-4083398104.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,6.359.930.412.361,6.397.328.269.446,37.397.857.085,421.0,6359930412361.0,6397328269446.0,37397857085.0
- Lợi nhuận sau thuế chưa phân phối năm này,- Lợi nhuận sau thuế chưa phân phối năm này,- Lợi nhuận sau thuế chưa phân phối năm này,421b,5.725.808.999.577,5.763.206.856.662,37.397.857.085,,5725808999577.0,5763206856662.0,37397857085.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,52.538.705.331,52.640.487.731,101.782.400,429.0,52538705331.0,52640487731.0,101782400.0
