row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị VND,Số đầu năm > Số có khả năng trả nợ VND,Trong năm > Tăng VND,Trong năm > Giảm VND,Trong năm > Đành giả chênh lệch tỷ giá cuối năm VND,Số cuối năm > Giá trị VND,Số cuối năm > Số có khả năng trả nợ VND,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > Số có khả năng trả nợ VND,numeric__Trong năm > Tăng VND,numeric__Trong năm > Giảm VND,numeric__Trong năm > Đành giả chênh lệch tỷ giá cuối năm VND,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Số có khả năng trả nợ VND
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,,,,,,,
Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn VNIX-2 Dự án xây dựng nhà ga hành khách Quốc tế sản bay Tân Sơn Nhất bằng nguồn vốn ODA (1),Vay dài hạn đến hạn trả > Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn VNIX-2 Dự án xây dựng nhà ga hành khách Quốc tế sản bay Tân Sơn Nhất bằng nguồn vốn ODA (1),Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn VNIX-2 Dự án xây dựng nhà ga hành khách Quốc tế sản bay Tân Sơn Nhất bằng nguồn vốn ODA (1),150.932.824.856,150.932.824.856,156.200.048.546,154.993.814.113,1.966.527.651,154.105.586.940,154.105.586.940,150932824856.0,150932824856.0,156200048546.0,154993814113.0,1966527651.0,154105586940.0,154105586940.0
Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn VNXVII-6 Dự án xây dựng nhà ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (2),Vay dài hạn đến hạn trả > Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn VNXVII-6 Dự án xây dựng nhà ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (2),Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn VNXVII-6 Dự án xây dựng nhà ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (2),-,-,87.951.153.663,-,(1.997.199.927),85.953.953.736,85.953.953.736,,,87951153663.0,,-1997199927.0,85953953736.0,85953953736.0
,,,150.932.824.856,150.932.824.856,244.151.202.209,154.993.814.113,(30.672.276),240.059.540.676,240.059.540.676,150932824856.0,150932824856.0,244151202209.0,154993814113.0,-30672276.0,240059540676.0,240059540676.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,
Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn VNIX-2 Dự án xây dựng nhà ga hành khách Quốc tế sản bay Tân Sơn Nhất bằng nguồn vốn ODA (1),Vay dài hạn > Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn VNIX-2 Dự án xây dựng nhà ga hành khách Quốc tế sản bay Tân Sơn Nhất bằng nguồn vốn ODA (1),Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn VNIX-2 Dự án xây dựng nhà ga hành khách Quốc tế sản bay Tân Sơn Nhất bằng nguồn vốn ODA (1),3.406.566.869.657,3.406.566.869.657,-,156.200.048.546,2.430.745.145,3.252.797.566.256,3.252.797.566.256,3406566869657.0,3406566869657.0,,156200048546.0,2430745145.0,3252797566256.0,3252797566256.0
Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn VNXVII-6 Dự án xây dựng nhà ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (2),Vay dài hạn > Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn VNXVII-6 Dự án xây dựng nhà ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (2),Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn VNXVII-6 Dự án xây dựng nhà ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (2),2.619.246.053.144,2.619.246.053.144,-,87.951.153.663,(7.613.830.636),2.523.681.068.845,2.523.681.068.845,2619246053144.0,2619246053144.0,,87951153663.0,-7613830636.0,2523681068845.0,2523681068845.0
Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VN11-P6 Dự án xây dựng nhà ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (3),Vay dài hạn > Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VN11-P6 Dự án xây dựng nhà ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (3),Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VN11-P6 Dự án xây dựng nhà ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (3),4.332.149.930.000,4.332.149.930.000,-,-,(16.566.930.000),4.315.583.000.000,4.315.583.000.000,4332149930000.0,4332149930000.0,,,-16566930000.0,4315583000000.0,4315583000000.0
Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VN13-P3 Dự án Xây dựng nhà Ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (4),Vay dài hạn > Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VN13-P3 Dự án Xây dựng nhà Ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (4),Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VN13-P3 Dự án Xây dựng nhà Ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (4),4.685.397.818.489,4.685.397.818.489,-,-,(17.917.814.234),4.667.480.004.255,4.667.480.004.255,4685397818489.0,4685397818489.0,,,-17917814234.0,4667480004255.0,4667480004255.0
,,,15.043.360.671.290,15.043.360.671.290,-,244.151.202.209,(39.667.829.725),14.759.541.639.356,14.759.541.639.356,15043360671290.0,15043360671290.0,,244151202209.0,-39667829725.0,14759541639356.0,14759541639356.0
