row_label_raw,row_label_full,Chỉ tiêu,Dịch vụ > VND,Bản hàng > VND,Tổng cộng > VND,numeric__Dịch vụ > VND,numeric__Bản hàng > VND,numeric__Tổng cộng > VND
KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,KẾT QUẢ KINH DOANH > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,14.754.524.144.141,1.368.636.573.029,16.123.160.717.170,14754524144141.0,1368636573029.0,16123160717170.0
Tổng Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,KẾT QUẢ KINH DOANH > Tổng Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Tổng Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,14.754.524.144.141,1.368.636.573.029,16.123.160.717.170,14754524144141.0,1368636573029.0,16123160717170.0
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,,,,,,
- Giá vốn hàng bán,Chi phí bộ phận > - Giá vốn hàng bán,- Giá vốn hàng bán,7.462.727.955.346,832.877.115.625,8.295.605.070.971,7462727955346.0,832877115625.0,8295605070971.0
- Chi phí bán hàng,Chi phí bộ phận > - Chi phí bán hàng,- Chi phí bán hàng,-,340.121.610.771,340.121.610.771,,340121610771.0,340121610771.0
Kết quả kinh doanh theo bộ phận,Chi phí bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,7.291.796.188.795,195.637.846.633,7.487.434.035.428,7291796188795.0,195637846633.0,7487434035428.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,
Chi phí quản lý doanh nghiệp,Các chi phí không phân bổ theo bộ phận > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,878.228.923.176,,,878228923176.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,1.363.440.280.033,,,1363440280033.0
Chi phí tài chính,Các chi phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,755.865.128.377,,,755865128377.0
Thu nhập khác,Các chi phí không phân bổ theo bộ phận > Thu nhập khác,Thu nhập khác,,,86.011.587.184,,,86011587184.0
Chi phí khác,Các chi phí không phân bổ theo bộ phận > Chi phí khác,Chi phí khác,,,20.546.032.891,,,20546032891.0
"Lãi trong công ty liên doanh, liên kết","Các chi phí không phân bổ theo bộ phận > Lãi trong công ty liên doanh, liên kết","Lãi trong công ty liên doanh, liên kết",,,335.929.802.184,,,335929802184.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Các chi phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,1.451.817.167.249,,,1451817167249.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Các chi phí không phân bổ theo bộ phận > Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,,(18.995.347.574),,,-18995347574.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Các chi phí không phân bổ theo bộ phận > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,6.185.353.800.710,,,6185353800710.0
Tài sản không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận > Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,,,53.624.854.042.612,,,53624854042612.0
Nợ phải trả không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,22.838.548.658.743,,,22838548658743.0
