row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,21.418.960.995.248,22.838.548.658.743,300.0,,21418960995248.0,22838548658743.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,6.518.193.955.432,7.683.984.257.773,310.0,,6518193955432.0,7683984257773.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,19,1.257.864.950.530,1.142.847.500.946,311.0,19.0,1257864950530.0,1142847500946.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,,41.996.337.870,28.198.297.405,312.0,,41996337870.0,28198297405.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,20,609.153.725.061,141.397.521.391,313.0,20.0,609153725061.0,141397521391.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,1.127.424.505.422,1.026.311.895.001,314.0,,1127424505422.0,1026311895001.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,21,795.664.672.685,884.038.488.376,315.0,21.0,795664672685.0,884038488376.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,,3.925.376.726,9.234.846.317,318.0,,3925376726.0,9234846317.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,22,2.431.415.970.123,3.869.475.488.801,319.0,22.0,2431415970123.0,3869475488801.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,24,240.059.540.676,150.932.824.856,320.0,24.0,240059540676.0,150932824856.0
