row_label_raw,row_label_full,TÀI SẢN,Mã Thuyết số minh,Mã Thuyết số minh_1,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Mã Thuyết số minh,numeric__Mã Thuyết số minh_1,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,37.291.466.594.427,31.280.728.951.579,100.0,,37291466594427.0,31280728951579.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,349.666.161.339,638.390.855.963,110.0,5.0,349666161339.0,638390855963.0
1. Tiền,1. Tiền,1. Tiền,111,,343.666.161.339,628.390.855.963,111.0,,343666161339.0,628390855963.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,6.000.000.000,10.000.000.000,112.0,,6000000000.0,10000000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,30.921.500.000.000,23.730.400.000.000,120.0,,30921500000000.0,23730400000000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,6,30.921.500.000.000,23.730.400.000.000,123.0,6.0,30921500000000.0,23730400000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,5.360.502.760.659,6.155.897.512.413,130.0,,5360502760659.0,6155897512413.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,2.649.756.296.717,2.490.721.586.665,131.0,7.0,2649756296717.0,2490721586665.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,230.029.561.599,382.816.457.706,132.0,8.0,230029561599.0,382816457706.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,9,2.510.610.761.252,3.312.270.750.951,136.0,9.0,2510610761252.0,3312270750951.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,10,(29.893.858.909),(29.911.282.909),137.0,10.0,-29893858909.0,-29911282909.0
