row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2018:,Năm kết thúc ngày 31 tháng 12 năm 2018:_1,Miền Bắc > Triệu VND,Miền Trung và Tây Nguyên > Triệu VND,Miền Nam > Triệu VND,Nước ngoài > Triệu VND,Loại trừ > Triệu VND,Tổng cộng > Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2018:_1,numeric__Miền Bắc > Triệu VND,numeric__Miền Trung và Tây Nguyên > Triệu VND,numeric__Miền Nam > Triệu VND,numeric__Nước ngoài > Triệu VND,numeric__Loại trừ > Triệu VND,numeric__Tổng cộng > Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,77.780.799,13.535.869,38.109.601,76.387,(73.638.705),55.863.951,,77780799.0,13535869.0,38109601.0,76387.0,-73638705.0,55863951.0
2,2,2,Chi phí lãi và các chi phí tương tự,(65.901.975),(9.365.838),(25.807.910),(27.596),73.647.884,(27.455.435),,-65901975.0,-9365838.0,-25807910.0,-27596.0,73647884.0,-27455435.0
I,I,I,Thu nhập lãi thuần,11.878.824,4.170.031,12.301.691,48.791,9.179,28.408.516,,11878824.0,4170031.0,12301691.0,48791.0,9179.0,28408516.0
3,3,3,Thu nhập từ hoạt động dịch vụ,3.791.323,684.271,2.643.475,49.173,(146.087),7.022.155,,3791323.0,684271.0,2643475.0,49173.0,-146087.0,7022155.0
4,4,4,Chi phí hoạt động dịch vụ,(3.522.035),(23.077),(91.587),(14.836),31.872,(3.619.663),,-3522035.0,-23077.0,-91587.0,-14836.0,31872.0,-3619663.0
II,II,II,Lãi/(lỗ) thuần từ hoạt động dịch vụ,269.288,661.194,2.551.888,34.337,(114.215),3.402.492,,269288.0,661194.0,2551888.0,34337.0,-114215.0,3402492.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,1.653.084,93.355,519.822,168,-,2.266.429,,1653084.0,93355.0,519822.0,168.0,,2266429.0
IV,IV,IV,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,259.621,-,-,-,(9.159),250.462,,259621.0,,,,-9159.0,250462.0
5,5,5,Thu nhập từ hoạt động khác,1.545.368,473.740,1.490.320,6.476,-,3.515.904,,1545368.0,473740.0,1490320.0,6476.0,,3515904.0
6,6,6,Chi phí hoạt động khác,(146.582),(42.005),(92.002),(950),-,(281.539),,-146582.0,-42005.0,-92002.0,-950.0,,-281539.0
VI,VI,VI,Lãi thuần từ hoạt động khác,1.398.786,431.735,1.398.318,5.526,-,3.234.365,,1398786.0,431735.0,1398318.0,5526.0,,3234365.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",1.716.169,-,-,-,-,1.716.169,,1716169.0,,,,,1716169.0
,,,Tổng thu nhập hoạt động,17.175.772,5.356.315,16.771.719,88.822,(114.195),39.278.433,,17175772.0,5356315.0,16771719.0,88822.0,-114195.0,39278433.0
VIII,VIII,VIII,Chi phí hoạt động,(8.594.431),(1.297.009),(3.558.651),(67.114),(93.889),(13.611.094),,-8594431.0,-1297009.0,-3558651.0,-67114.0,-93889.0,-13611094.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,8.581.341,4.059.306,13.213.068,21.708,(208.084),25.667.339,,8581341.0,4059306.0,13213068.0,21708.0,-208084.0,25667339.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,(6.256.620),(864.555),(276.940),2,-,(7.398.113),,-6256620.0,-864555.0,-276940.0,2.0,,-7398113.0
XI,XI,XI,Tổng lợi nhuận trước thuế,2.324.721,3.194.751,12.936.128,21.710,(208.084),18.269.226,,2324721.0,3194751.0,12936128.0,21710.0,-208084.0,18269226.0
7,7,7,Chi phí thuế TNDN hiện hành,(416.406),(639.744),(2.589.435),(2.771),-,(3.648.356),,-416406.0,-639744.0,-2589435.0,-2771.0,,-3648356.0
8,8,8,Lợi ích thuế TNDN hoãn lại,1.192,-,-,-,-,1.192,,1192.0,,,,,1192.0
XII,XII,XII,Chi phí thuế TNDN,(415.214),(639.744),(2.589.435),(2.771),-,(3.647.164),,-415214.0,-639744.0,-2589435.0,-2771.0,,-3647164.0
XIII,XIII,XIII,Lợi nhuận sau thuế,1.909.507,2.555.007,10.346.693,18.939,(208.084),14.622.062,,1909507.0,2555007.0,10346693.0,18939.0,-208084.0,14622062.0
