row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2018 Triệu VND,31/12/2017 Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2018 Triệu VND,numeric__31/12/2017 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,12.792.045,10.102.861,,4.0,12792045.0,10102861.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),5,10.845.701,93.615.618,,5.0,10845701.0,93615618.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,250.228.037,232.973.403,,6.0,250228037.0,232973403.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,187.352.500,159.043.345,,,187352500.0,159043345.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,63.875.537,73.930.058,,,63875537.0,73930058.0
3,A > 3,3,Dự phòng rủi ro,,(1.000.000),-,,,-1000000.0,
IV,A > IV,IV,Chứng khoán kinh doanh,7,2.654.806,9.669.033,,7.0,2654806.0,9669033.0
1,A > 1,1,Chứng khoán kinh doanh,,2.725.051,9.750.244,,,2725051.0,9750244.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(70.245),(81.211),,,-70245.0,-81211.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,275.983,832.354,,8.0,275983.0,832354.0
VI,A > VI,VI,Cho vay khách hàng,,621.573.249,535.321.404,,,621573249.0,535321404.0
1,A > 1,1,Cho vay khách hàng,9,631.866.758,543.434.460,,9.0,631866758.0,543434460.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(10.293.509),(8.113.056),,10.0,-10293509.0,-8113056.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,11,149.296.430,129.952.272,,11.0,149296430.0,129952272.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,35.321.259,34.688.298,,,35321259.0,34688298.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,114.251.030,95.404.021,,,114251030.0,95404021.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(275.859),(140.047),,,-275859.0,-140047.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",,2.476.067,3.552.828,,,2476067.0,3552828.0
2,A > 2,2,Vốn góp liên doanh,12(a),897.308,861.567,,,897308.0,861567.0
3,A > 3,3,Đầu tư vào công ty liên kết,12(b),10.339,10.434,,,10339.0,10434.0
4,A > 4,4,Đầu tư dài hạn khác,12(c),1.635.418,2.705.966,,,1635418.0,2705966.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,12(c),(66.998),(25.139),,,-66998.0,-25139.0
X,A > X,X,Tài sản cố định,,6.527.466,6.162.361,,,6527466.0,6162361.0
1,A > 1,1,Tài sản cố định hữu hình,13,4.459.292,4.198.053,,13.0,4459292.0,4198053.0
a,A > a,a,Nguyên giá tài sản cố định,,10.534.068,9.701.927,,,10534068.0,9701927.0
b,A > b,b,Hao mòn tài sản cố định,,(6.074.776),(5.503.874),,,-6074776.0,-5503874.0
3,A > 3,3,Tài sản cố định vô hình,14,2.068.174,1.964.308,,14.0,2068174.0,1964308.0
a,A > a,a,Nguyên giá tài sản cố định,,2.772.517,2.606.775,,,2772517.0,2606775.0
b,A > b,b,Hao mòn tài sản cố định,,(704.343),(642.467),,,-704343.0,-642467.0
XII,A > XII,XII,Tài sản Có khác,,17.356.776,13.111.149,,,17356776.0,13111149.0
1,A > 1,1,Các khoản phải thu,15(a),4.065.268,4.505.735,,,4065268.0,4505735.0
2,A > 2,2,"Các khoản lãi, phí phải thu",15(b),7.409.149,6.025.653,,,7409149.0,6025653.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,,6.740,5.548,,,6740.0,5548.0
4,A > 4,4,Tài sản Có khác,15(c),5.879.141,2.576.228,,,5879141.0,2576228.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(3.522),(2.015),,,-3522.0,-2015.0
,,,TỔNG TÀI SẢN CÓ,,1.074.026.560,1.035.293.283,,,1074026560.0,1035293283.0
