row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,2018 Triệu VND,2017 Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__2018 Triệu VND,numeric__2017 Triệu VND
,,,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
01,01,01,Mua sắm tài sản cố định,,(1.133.639),(1.139.976),,,-1133639.0,-1139976.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,6.767,7.542,,,6767.0,7542.0
03,03,03,"Tiền chi cho thanh lý, nhượng bán tài sản cố định",,(1.692),(2.396),,,-1692.0,-2396.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,2.628.038,265.688,,,2628038.0,265688.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,129.753,129.685,,,129753.0,129685.0
II,II,II,Lưu chuyển tiền thuần từ hoạt động đầu tư,,1.629.227,(739.457),,,1629227.0,-739457.0
,,,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
04,04,04,"Cổ tức đã trả cho cổ đông, lợi nhuận đã chia",,(2.914.981),(2.896.942),,,-2914981.0,-2896942.0
III,III,III,Lưu chuyển tiền thuần từ hoạt động tài chính,,(2.914.981),(2.896.942),,,-2914981.0,-2896942.0
IV,IV,IV,Lưu chuyển tiền thuần trong năm,,(61.520.091),147.969.292,,,-61520091.0,147969292.0
V,V,V,Tiền và các khoản tương đương tiền tại thời điểm đầu năm,,305.534.247,157.564.955,,,305534247.0,157564955.0
VII,VII,VII,Tiền và các khoản tương đương tiền tại thời điểm cuối năm,36,244.014.156,305.534.247,,36.0,244014156.0,305534247.0
