row_label_raw,row_label_full,Ngân hàng Nhà nước Việt NamTiền gửi của Vietcombank tại NHNNVNTiền gửi và tiền vay của NHNNVNTại Vietcombank,Mối liên hệ > Đại diệnchủ sở hữu,31/12/2018Triệu VNDPhải thu/(phải trả) > 10.152.565(3.589.585),31/12/2017Triệu VND > 93.615.296(6.303.503),numeric__Mối liên hệ > Đại diệnchủ sở hữu,numeric__31/12/2018Triệu VNDPhải thu/(phải trả) > 10.152.565(3.589.585),numeric__31/12/2017Triệu VND > 93.615.296(6.303.503)
Bộ Tài chínhTiền gửi tại Ngân hàngVay Bộ Tài chính,Bộ Tài chínhTiền gửi tại Ngân hàngVay Bộ Tài chính,Bộ Tài chínhTiền gửi tại Ngân hàngVay Bộ Tài chính,Bên liênquan củachủ sở hữu,(87.095.730)(1.001.583),(165.081.565)(702.162),,,
"Mizuho Bank Ltd., Nhật BảnTiền gửi của Ngân hàng tại Mizuho Bank Ltd.,Nhật BảnTiền gửi của Mizuho Bank Ltd., Nhật Bản tạiNgân hàngVay Mizuho Bank Ltd., Nhật Bản","Mizuho Bank Ltd., Nhật BảnTiền gửi của Ngân hàng tại Mizuho Bank Ltd.,Nhật BảnTiền gửi của Mizuho Bank Ltd., Nhật Bản tạiNgân hàngVay Mizuho Bank Ltd., Nhật Bản","Mizuho Bank Ltd., Nhật BảnTiền gửi của Ngân hàng tại Mizuho Bank Ltd.,Nhật BảnTiền gửi của Mizuho Bank Ltd., Nhật Bản tạiNgân hàngVay Mizuho Bank Ltd., Nhật Bản",Cổ đôngchiến lược,1.767.477(3.667.092)-,5.994.987(3.190.241)(448.500),,,
