row_label_raw,row_label_full,col_0,Ngành kinh doanh,Tỷ lệ vốn góp (%),Giá gốc Triệu VND,Giá trị ghi số Triệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệ vốn góp (%),numeric__Giá gốc Triệu VND,numeric__Giá trị ghi số Triệu VND
Công ty Liên doanh TNHH Vietcombank – Bonday – Bến Thành (i),Công ty Liên doanh TNHH Vietcombank – Bonday – Bến Thành (i),Công ty Liên doanh TNHH Vietcombank – Bonday – Bến Thành (i),Cho thuê văn phòng,52%,410.365,492.807,,0.52,410365.0,492807.0
Công ty Liên doanh Quản lý Quỹ đầu tư,Công ty Liên doanh Quản lý Quỹ đầu tư,Công ty Liên doanh Quản lý Quỹ đầu tư,Quản lý quỹ đầu tư,51%,135.150,145.031,,0.51,135150.0,145031.0
Chứng khoán Vietcombank (i),Chứng khoán Vietcombank (i),Chứng khoán Vietcombank (i),Bảo hiểm nhân thọ,45%,270.000,259.470,,0.45,270000.0,259470.0
,,,,,815.515,897.308,,,815515.0,897308.0
