row_label_raw,row_label_full,col_0,Vốn điều lệ,Vốn khác,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng_1,Quỹ của tổ chức tín dụng_2,Quỹ của tổ chức tín dụng_3,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Vốn khác,numeric__Quỹ của tổ chức tín dụng,numeric__Quỹ của tổ chức tín dụng_1,numeric__Quỹ của tổ chức tín dụng_2,numeric__Quỹ của tổ chức tín dụng_3,numeric__Chênh lệch tỷ giá hối đoái,numeric__Chênh lệch đánh giá lại tài sản,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,Vốn điều lệ,Vốn khác,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự phòng tài chính,Quỹ đầu tư phát triển,Tổng cộng,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,
Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,35.977.686,344.245,2.381.774,4.801.247,70.661,7.253.682,94.485,83.285,8.715.252,89.324,52.557.959,35977686.0,344245.0,2381774.0,4801247.0,70661.0,7253682.0,94485.0,83285.0,8715252.0,89324.0,52557959.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,14.605.578,16.484,14.622.062,,,,,,,,,14605578.0,16484.0,14622062.0
Tạm trích các quỹ dự trữ bắt buộc trong năm 2018,Tạm trích các quỹ dự trữ bắt buộc trong năm 2018,Tạm trích các quỹ dự trữ bắt buộc trong năm 2018,-,-,722.733,1.445.467,-,2.168.200,-,-,(2.168.200),-,-,,,722733.0,1445467.0,,2168200.0,,,-2168200.0,,
"Tạm trích quỹ khen thưởng, phúc lợi trong năm 2018","Tạm trích quỹ khen thưởng, phúc lợi trong năm 2018","Tạm trích quỹ khen thưởng, phúc lợi trong năm 2018",-,-,-,-,-,-,-,-,(1.670.475),-,(1.670.475),,,,,,,,,-1670475.0,,-1670475.0
Điều chỉnh theo Nghị quyết của Đại hội đồng Cổ đông,Điều chỉnh theo Nghị quyết của Đại hội đồng Cổ đông,Điều chỉnh theo Nghị quyết của Đại hội đồng Cổ đông,-,412,2.218,4.435,-,6.653,-,-,(399.414),-,(392.349),,412.0,2218.0,4435.0,,6653.0,,,-399414.0,,-392349.0
Trả cổ tức cổ đông năm 2017 (Thuyết minh 23),Trả cổ tức cổ đông năm 2017 (Thuyết minh 23),Trả cổ tức cổ đông năm 2017 (Thuyết minh 23),-,-,-,-,-,-,-,-,(2.878.215),-,(2.878.215),,,,,,,,,-2878215.0,,-2878215.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,-,(13.081),-,(13.081),-,-,-,-,(13.081),,,,-13081.0,,-13081.0,,,,,-13081.0
Trả cổ tức của công ty con,Trả cổ tức của công ty con,Trả cổ tức của công ty con,-,-,-,-,-,-,-,-,-,(36.766),(36.766),,,,,,,,,,-36766.0,-36766.0
Trích các quỹ của các công ty con,Trích các quỹ của các công ty con,Trích các quỹ của các công ty con,-,-,13.060,17.218,-,30.278,-,-,(70.521),(513),(40.756),,,13060.0,17218.0,,30278.0,,,-70521.0,-513.0,-40756.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,(10.035),-,-,503,(9.532),,,,,,,-10035.0,,,503.0,-9532.0
Dánh giá lại tài sản,Dánh giá lại tài sản,Dánh giá lại tài sản,-,-,-,-,-,-,-,35.893,-,-,35.893,,,,,,,,35893.0,,,35893.0
"Điều chỉnh công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu","Điều chỉnh công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu","Điều chỉnh công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu",-,-,-,-,-,-,-,-,6.721,-,6.721,,,,,,,,,6721.0,,6721.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,-,-,(2.039),(43),(2.082),,,,,,,,,-2039.0,-43.0,-2082.0
Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,35.977.686,344.657,3.119.785,6.255.286,70.661,9.445.732,84.450,119.178,16.138.687,68.989,62.179.379,35977686.0,344657.0,3119785.0,6255286.0,70661.0,9445732.0,84450.0,119178.0,16138687.0,68989.0,62179379.0
