row_label_raw,row_label_full,col_0,col_1,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng
,,,,Trên3 tháng,Đến 3tháng,Đến 1 tháng,Từ trên1 tháng đến3 tháng,Từ trên3 tháng đến12 tháng,Từ trên1 năm đến5 năm,Trên 5 năm,Tổng cộng,,,,,,,,,
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
,,,Tài sản,,,,,,,,,,,,,,,,,
I,I,I,"Tiền mặt, vàng bạc, đá quý",-,-,12.792.045,-,-,-,-,12.792.045,,,,12792045.0,,,,,12792045.0
II,II,II,Tiền gửi tại Ngân hàng Nhà nước,-,-,10.845.701,-,-,-,-,10.845.701,,,,10845701.0,,,,,10845701.0
III,III,III,Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,-,-,,,,,,,,,,,,,,,
IV,III > IV,IV,Chứng khoán kinh doanh – gộp,-,-,183.930.855,44.204.611,20.672.851,2.419.720,-,251.228.037,,,,183930855.0,44204611.0,20672851.0,2419720.0,,251228037.0
V,III > V,V,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,-,2.725.051,-,-,-,-,2.725.051,,,,2725051.0,,,,,2725051.0
VI,III > VI,VI,Cho vay khách hàng – gộp,1.220.622,7.996.017,-,275.983,-,-,-,275.983,,1220622.0,7996017.0,,275983.0,,,,275983.0
VII,III > VII,VII,Chứng khoán đầu tư – gộp,-,-,68.381.315,135.802.466,187.697.004,94.389.752,136.379.582,631.866.758,,,,68381315.0,135802466.0,187697004.0,94389752.0,136379582.0,631866758.0
VIII,III > VIII,VIII,"Góp vốn, đầu tư dài hạn – gộp",-,-,308.566,3.925.107,9.180.365,94.310.436,41.847.815,149.572.289,,,,308566.0,3925107.0,9180365.0,94310436.0,41847815.0,149572289.0
IX,III > IX,IX,Tài sản cố định,-,-,-,-,-,-,2.543.065,2.543.065,,,,,,,,2543065.0,2543065.0
X,III > X,X,Tài sản Có khác – gộp,-,-,-,-,-,-,6.527.466,6.527.466,,,,,,,,6527466.0,6527466.0
,,,Tổng tài sản,1.220.622,7.996.017,-,17.360.298,-,-,-,17.360.298,,1220622.0,7996017.0,,17360298.0,,,,17360298.0
,,,Nợ phải trả,,,,,,,,,,,,,,,,,
I,III > I,I,Các khoản nợ Chính phủ và NHNNvà tiền gửi và vay các TCTD khác,-,-,278.983.533,201.568.465,217.550.220,191.119.908,187.297.928,1.085.736.693,,,,278983533.0,201568465.0,217550220.0,191119908.0,187297928.0,1085736693.0
II,III > II,II,Tiền gửi của khách hàng,-,-,157.989.395,4.042.454,1.986.286,2.638.950,552.309,167.209.394,,,,157989395.0,4042454.0,1986286.0,2638950.0,552309.0,167209394.0
IV,III > IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vaymà TCTD chịu rủi ro",-,-,221.046.119,136.025.313,254.608.181,35.298.485,154.951.017,801.929.115,,,,221046119.0,136025313.0,254608181.0,35298485.0,154951017.0,801929115.0
V,III > V,V,Phát hành giấy tờ có giá,-,-,-,-,1.235,18.481,6.087,25.803,,,,,,1235.0,18481.0,6087.0,25803.0
VI,III > VI,VI,Các khoản nợ phải trả khác,-,-,215.705,-,-,7.998.438,13.246.989,21.461.132,,,,215705.0,,,7998438.0,13246989.0,21461132.0
,,,Tổng nợ phải trả,-,-,-,20.220.154,-,-,1.001.583,21.221.737,,,,,20220154.0,,,1001583.0,21221737.0
,,,Mức chênh thanh khoản ròng,1.220.622,7.996.017,379.251.219,160.287.921,256.595.702,45.954.354,169.757.985,1.011.847.181,,1220622.0,7996017.0,379251219.0,160287921.0,256595702.0,45954354.0,169757985.0,1011847181.0
