row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2018Triệu VND,31/12/2017Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2018Triệu VND,numeric__31/12/2017Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,16,90.685.315,171.385.068,,16.0,90685315.0,171385068.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,76.524.079,66.942.203,,17.0,76524079.0,66942203.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,75.245.679,55.803.878,,,75245679.0,55803878.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,1.278.400,11.138.325,,,1278400.0,11138325.0
III,B > III,III,Tiền gửi của khách hàng,18,801.929.115,708.519.717,,18.0,801929115.0,708519717.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,25.803,23.153,,19.0,25803.0,23153.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,21.461.132,18.214.504,,20.0,21461132.0,18214504.0
VII,B > VII,VII,Các khoản nợ khác,,21.221.737,17.650.679,,,21221737.0,17650679.0
1,B > 1,1,"Các khoản lãi, phí phải trả",21(a),8.717.540,8.467.337,,,8717540.0,8467337.0
2,B > 2,2,Thuế thu nhập doanh nghiệp hoãn lại phải trả,,19.295,20.052,,,19295.0,20052.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21(b),12.484.902,9.163.290,,,12484902.0,9163290.0
,,,TỔNG NỘ PHẢI TRẢ,,1.011.847.181,982.735.324,,,1011847181.0,982735324.0
VIII,VIII,VIII,Vốn chủ sở hữu,,,,,,,
1,VIII > 1,1,Vốn của tổ chức tín dụng,,36.322.343,36.321.931,,,36322343.0,36321931.0
a,VIII > a,a,Vốn điều lệ,,35.977.686,35.977.686,,,35977686.0,35977686.0
g,VIII > g,g,Vốn khác,,344.657,344.245,,,344657.0,344245.0
2,VIII > 2,2,Quỹ của tổ chức tín dụng,,9.445.732,7.253.682,,,9445732.0,7253682.0
3,VIII > 3,3,Chênh lệch tỷ giá hối đoái,,84.450,94.485,,,84450.0,94485.0
4,VIII > 4,4,Chênh lệch đánh giá lại tài sản,,119.178,83.285,,,119178.0,83285.0
5,VIII > 5,5,Lợi nhuận chưa phân phối,,16.138.687,8.715.252,,,16138687.0,8715252.0
a,VIII > a,a,Lợi nhuận để lại năm trước,,5.383.568,2.476.000,,,5383568.0,2476000.0
b,VIII > b,b,Lợi nhuận để lại năm nay,,10.755.119,6.239.252,,,10755119.0,6239252.0
6,VIII > 6,6,Lợi ích của cổ đông không kiểm soát,,68.989,89.324,,,68989.0,89324.0
,,,TỔNG VỐN CHỦ SỞ HỮU,22(a),62.179.379,52.557.959,,,62179379.0,52557959.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.074.026.560,1.035.293.283,,,1074026560.0,1035293283.0
