row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Bản quyền và bằng sáng chếTriệu VND,Tài sản cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Bản quyền và bằng sáng chếTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.915.710,590.462,100.603,2.606.775,1915710.0,590462.0,100603.0,2606775.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,153.826,11.882,60,165.768,153826.0,11882.0,60.0,165768.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,153.406,9.822,60,163.288,153406.0,9822.0,60.0,163288.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,420,2.060,-,2.480,420.0,2060.0,,2480.0
Giảm khác trong năm,Nguyên giá > Giảm khác trong năm,Giảm khác trong năm,-,(26),-,(26),,-26.0,,-26.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.069.536,602.318,100.663,2.772.517,2069536.0,602318.0,100663.0,2772517.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,56.123,506.182,80.162,642.467,56123.0,506182.0,80162.0,642467.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,16.156,40.493,5.230,61.879,16156.0,40493.0,5230.0,61879.0
- Khấu hao,Hao mòn lũy kế > - Khấu hao,- Khấu hao,14.771,39.169,5.230,59.170,14771.0,39169.0,5230.0,59170.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,1.385,1.324,-,2.709,1385.0,1324.0,,2709.0
Giảm khác trong năm,Hao mòn lũy kế > Giảm khác trong năm,Giảm khác trong năm,-,(3),-,(3),,-3.0,,-3.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,72.279,546.672,85.392,704.343,72279.0,546672.0,85392.0,704343.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.859.587,84.280,20.441,1.964.308,1859587.0,84280.0,20441.0,1964308.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.997.257,55.646,15.271,2.068.174,1997257.0,55646.0,15271.0,2068174.0
