row_label_raw,row_label_full,col_0,Ngành kinh doanh,Tỷ lệ vốn góp(%),Giá gốcTriệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệ vốn góp(%),numeric__Giá gốcTriệu VND
Ngân hàng TMCP Xuất – Nhập khẩu Việt Nam,Ngân hàng TMCP Xuất – Nhập khẩu Việt Nam,Ngân hàng TMCP Xuất – Nhập khẩu Việt Nam,Ngân hàng,"8,19%",582.065,,0.0819,582065.0
Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng,"6,97%",1.242.989,,0.0697,1242989.0
Ngân hàng TMCP Phương ĐôngQuỹ bảo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Ngân hàng TMCP Phương ĐôngQuỹ bảo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Ngân hàng TMCP Phương ĐôngQuỹ bảo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Ngân hàng,"3,97%",144.802,,0.0397,144802.0
Ngân hàng TMCP Phương ĐôngQuỹ bảo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Ngân hàng TMCP Phương ĐôngQuỹ bảo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Ngân hàng TMCP Phương ĐôngQuỹ bảo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Bảo lãnh tín dụng,"0,80%",1.864,,0.008,1864.0
Công ty Cổ phần Bảo hiểm PetrolimexTổng Công ty Cổ phần Khoan và Dịch vụKhoan dầu khí,Công ty Cổ phần Bảo hiểm PetrolimexTổng Công ty Cổ phần Khoan và Dịch vụKhoan dầu khí,Công ty Cổ phần Bảo hiểm PetrolimexTổng Công ty Cổ phần Khoan và Dịch vụKhoan dầu khí,Bảo hiểm,"8,03%",67.900,,0.0803,67900.0
Công ty Cổ phần Bảo hiểm PetrolimexTổng Công ty Cổ phần Khoan và Dịch vụKhoan dầu khí,Công ty Cổ phần Bảo hiểm PetrolimexTổng Công ty Cổ phần Khoan và Dịch vụKhoan dầu khí,Công ty Cổ phần Bảo hiểm PetrolimexTổng Công ty Cổ phần Khoan và Dịch vụKhoan dầu khí,Dầu khí,"0,21%",5.496,,0.0021,5496.0
Công ty Cổ phần Thông tin tín dụngViệt Nam (PCB),Công ty Cổ phần Thông tin tín dụngViệt Nam (PCB),Công ty Cổ phần Thông tin tín dụngViệt Nam (PCB),Dịch vụ thông tin tín dụng,"6,64%",7.962,,0.0664,7962.0
Công ty Tài chính Cổ phần Xi măngTổng Công ty Phát triển Hạ tầng và Đầu tưTải chính Việt Nam,Công ty Tài chính Cổ phần Xi măngTổng Công ty Phát triển Hạ tầng và Đầu tưTải chính Việt Nam,Công ty Tài chính Cổ phần Xi măngTổng Công ty Phát triển Hạ tầng và Đầu tưTải chính Việt Nam,Dịch vụ tài chính,"10,91%",70.950,,0.1091,70950.0
Công ty Tài chính Cổ phần Xi măngTổng Công ty Phát triển Hạ tầng và Đầu tưTải chính Việt Nam,Công ty Tài chính Cổ phần Xi măngTổng Công ty Phát triển Hạ tầng và Đầu tưTải chính Việt Nam,Công ty Tài chính Cổ phần Xi măngTổng Công ty Phát triển Hạ tầng và Đầu tưTải chính Việt Nam,Đầu tư đường cao tốc,"1,97%",75.000,,0.0197,75000.0
Công ty Cổ phần Thanh toán Quốc giaViệt Nam,Công ty Cổ phần Thanh toán Quốc giaViệt Nam,Công ty Cổ phần Thanh toán Quốc giaViệt Nam,Dịch vụ thẻ,"1,83%",4.400,,0.0183,4400.0
"Tổng Công ty Hàng không Việt NamSWIFT, MASTER và VISA","Tổng Công ty Hàng không Việt NamSWIFT, MASTER và VISA","Tổng Công ty Hàng không Việt NamSWIFT, MASTER và VISA","Hàng khôngDịch vụ thẻ, thanh toán","1,83%-",499.6022.936,,,4996022936.0
,,,,,2.705.966,,,2705966.0
Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,(25.139),,,-25139.0
,,,,,2.680.827,,,2680827.0
