row_label_raw,row_label_full,col_0,col_1,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 tháng đến 6 tháng,numeric__Từ trên 6 tháng đến 12 tháng,numeric__Từ trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
,,,Tài sản,,,,,,,,,,,,,,,,,,,
I,I,I,"Tiền mặt, vàng bạc, đá quý",-,12.792.045,-,-,-,-,-,-,12.792.045,,,12792045.0,,,,,,,12792045.0
II,II,II,Tiền gửi tại NHNN,-,-,10.845.701,-,-,-,-,-,10.845.701,,,,10845701.0,,,,,,10845701.0
III,III,III,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,185.303.975,43.885.299,4.523.846,17.514.917,-,-,251.228.037,,,,185303975.0,43885299.0,4523846.0,17514917.0,,,251228037.0
IV,IV,IV,Chứng khoán kinh doanh – gộp,-,357.436,2.367.615,-,-,-,-,-,2.725.051,,,357436.0,2367615.0,,,,,,2725051.0
V,V,V,Các công cụ tài chính phải sinh và tài sản tài chính khác,-,275.983,-,-,-,-,-,-,275.983,,,275983.0,,,,,,,275983.0
VI,VI,VI,Cho vay khách hàng – gộp,9.216.639,-,148.132.669,225.296.445,155.142.744,57.996.128,35.456.910,625.223,631.866.758,,9216639.0,,148132669.0,225296445.0,155142744.0,57996128.0,35456910.0,625223.0,631866758.0
VII,VII,VII,Chứng khoán đầu tư – gộp,-,8.190,571.376,5.971.107,2.824.650,9.553.973,92.191.178,38.451.815,149.572.289,,,8190.0,571376.0,5971107.0,2824650.0,9553973.0,92191178.0,38451815.0,149572289.0
VIII,VIII,VIII,"Gộp vốn, đầu tư dài hạn – gộp",-,2.543.065,-,-,-,-,-,-,2.543.065,,,2543065.0,,,,,,,2543065.0
IX,IX,IX,Tài sản cố định,-,6.527.466,-,-,-,-,-,-,6.527.466,,,6527466.0,,,,,,,6527466.0
X,X,X,Tài sản Có khác – gộp,-,17.360.298,-,-,-,-,-,-,17.360.298,,,17360298.0,,,,,,,17360298.0
,,,Tổng tài sản,9.216.639,39.864.483,347.221.336,275.152.851,162.491.240,85.065.018,127.648.088,39.077.038,1.085.736.693,,9216639.0,39864483.0,347221336.0,275152851.0,162491240.0,85065018.0,127648088.0,39077038.0,1085736693.0
,,,Nợ phải trả,,,,,,,,,,,,,,,,,,,
I,I,I,Các khoản nợ Chính phủ và NHNN và tiền gửi và vay các TCTD khác,-,-,159.835.849,4.040.452,2.168.912,1.164.181,-,-,167.209.394,,,,159835849.0,4040452.0,2168912.0,1164181.0,,,167209394.0
II,II,II,Tiền gửi của khách hàng,-,39.771,434.735.960,127.545.490,115.361.025,121.752.038,2.490.151,4.680,801.929.115,,,39771.0,434735960.0,127545490.0,115361025.0,121752038.0,2490151.0,4680.0,801929115.0
IV,IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,-,-,1.235,18.481,6.087,25.803,,,,,,,1235.0,18481.0,6087.0,25803.0
V,V,V,Phát hành giấy tờ có giá,-,-,214.636,-,-,5.153.400,14.899.211,1.193.885,21.461.132,,,,214636.0,,,5153400.0,14899211.0,1193885.0,21461132.0
VI,VI,VI,Các khoản nợ phải trả khác,-,20.220.154,1.001.583,-,-,-,-,-,21.221.737,,,20220154.0,1001583.0,,,,,,21221737.0
,,,Tổng nợ phải trả,-,20.259.925,595.788.028,131.585.942,117.529.937,128.070.854,17.407.843,1.204.652,1.011.847.181,,,20259925.0,595788028.0,131585942.0,117529937.0,128070854.0,17407843.0,1204652.0,1011847181.0
,,,Mức chênh nhạy cảm với lãi suất nội bằng,9.216.639,19.604.558,(248.566.692),143.566.909,44.961.303,(43.005.836),110.240.245,37.872.386,73.889.512,,9216639.0,19604558.0,-248566692.0,143566909.0,44961303.0,-43005836.0,110240245.0,37872386.0,73889512.0
