row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Tổng cộng,numeric__Chưa quá hạn và chưa bị giảm giá Triệu VND,numeric__Đã quá hạn nhưng chưa bị giảm giá Triệu VND,numeric__Đã bị giảm giá và trích lập dự phòng Triệu VND,numeric__Tổng cộng
,,,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Triệu VND,,,,
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,10.845.701,-,-,10.845.701,10845701.0,,,10845701.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,250.181.099,-,1.046.938,251.228.037,250181099.0,,1046938.0,251228037.0
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,187.352.500,-,-,187.352.500,187352500.0,,,187352500.0
Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,62.828.599,-,1.046.938,63.875.537,62828599.0,,1046938.0,63875537.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,2.367.615,-,-,2.367.615,2367615.0,,,2367615.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,619.118.418,2.744.261,10.004.079,631.866.758,619118418.0,2744261.0,10004079.0,631866758.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,149.564.099,-,-,149.564.099,149564099.0,,,149564099.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,35.313.069,-,-,35.313.069,35313069.0,,,35313069.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,114.251.030,-,-,114.251.030,114251030.0,,,114251030.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,14.198.286,-,-,14.198.286,14198286.0,,,14198286.0
,,,1.046.275.218,2.744.261,11.051.017,1.060.070.496,1046275218.0,2744261.0,11051017.0,1060070496.0
