row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phươngtiện vận tải,truyền đầnTriệu VND",Tài sảncó định hữuhình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phươngtiện vận tải,truyền đầnTriệu VND",numeric__Tài sảncó định hữuhình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.864.100,3.802.470,829.683,1.205.674,9.701.927,3864100.0,3802470.0,829683.0,1205674.0,9701927.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,484.101,332.043,64.410,133.911,1.014.465,484101.0,332043.0,64410.0,133911.0,1014465.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,443.947,332.043,64.410,129.951,970.351,443947.0,332043.0,64410.0,129951.0,970351.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,40.154,-,-,3.960,44.114,40154.0,,,3960.0,44114.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(5.765),(148.437),(12.060),(16.062),(182.324),-5765.0,-148437.0,-12060.0,-16062.0,-182324.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(5.765),(89.343),(12.060),(15.620),(122.788),-5765.0,-89343.0,-12060.0,-15620.0,-122788.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,-,(59.094),-,(442),(59.536),,-59094.0,,-442.0,-59536.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.342.436,3.986.076,882.033,1.323.523,10.534.068,4342436.0,3986076.0,882033.0,1323523.0,10534068.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,933.728,3.301.508,543.417,725.221,5.503.874,933728.0,3301508.0,543417.0,725221.0,5503874.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,191.746,290.730,76.915,184.351,743.742,191746.0,290730.0,76915.0,184351.0,743742.0
- Khấu hao,Hao mòn lũy kế > - Khấu hao,- Khấu hao,186.385,290.730,76.915,184.351,738.381,186385.0,290730.0,76915.0,184351.0,738381.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,5.361,-,-,-,5.361,5361.0,,,,5361.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(6.265),(138.328),(12.061),(16.186),(172.840),-6265.0,-138328.0,-12061.0,-16186.0,-172840.0
"- Thanh lý, nhượng bán","Hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(5.437),(88.191),(12.061),(16.096),(121.785),-5437.0,-88191.0,-12061.0,-16096.0,-121785.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,(828),(50.137),-,(90),(51.055),-828.0,-50137.0,,-90.0,-51055.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.119.209,3.453.910,608.271,893.386,6.074.776,1119209.0,3453910.0,608271.0,893386.0,6074776.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.930.372,500.962,286.266,480.453,4.198.053,2930372.0,500962.0,286266.0,480453.0,4198053.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.223.227,532.166,273.762,430.137,4.459.292,3223227.0,532166.0,273762.0,430137.0,4459292.0
