row_label_raw,row_label_full,Vay Ngân hàng Nhà nước Việt Nam,31/12/2018Triệu VND > 3.580.863,31/12/2017Triệu VND > 4.158.664,numeric__31/12/2018Triệu VND > 3.580.863,numeric__31/12/2017Triệu VND > 4.158.664
Vay theo hồ sơ tín dụng,Vay theo hồ sơ tín dụng,Vay theo hồ sơ tín dụng,2.787.812,3.400.693,2787812.0,3400693.0
Vay khác,Vay khác,Vay khác,793.051,757.971,793051.0,757971.0
Tiền gửi của Kho bạc Nhà nước,Tiền gửi của Kho bạc Nhà nước,Tiền gửi của Kho bạc Nhà nước,87.095.730,165.081.565,87095730.0,165081565.0
Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,21.407.768,155.836.670,21407768.0,155836670.0
Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,9.687.962,9.244.895,9687962.0,9244895.0
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,56.000.000,-,56000000.0,
Tiền gửi của Ngân hàng Nhà nước Việt Nam,Tiền gửi của Ngân hàng Nhà nước Việt Nam,Tiền gửi của Ngân hàng Nhà nước Việt Nam,8.722,2.144.839,8722.0,2144839.0
,,,90.685.315,171.385.068,90685315.0,171385068.0
