row_label_raw,row_label_full,Thuế phải trả (Thuyết minh 38),31/12/2018Triệu VND > 1.610.091,31/12/2017Triệu VND > 484.827,numeric__31/12/2018Triệu VND > 1.610.091,numeric__31/12/2017Triệu VND > 484.827
- Thuế thu nhập doanh nghiệp phải trả,- Thuế thu nhập doanh nghiệp phải trả,- Thuế thu nhập doanh nghiệp phải trả,1.342.984,276.569,1342984.0,276569.0
- Thuế giá trị gia tăng chờ nộp ngân sách,- Thuế giá trị gia tăng chờ nộp ngân sách,- Thuế giá trị gia tăng chờ nộp ngân sách,50.938,37.539,50938.0,37539.0
- Các thuế khác phải trả,- Các thuế khác phải trả,- Các thuế khác phải trả,216.169,170.719,216169.0,170719.0
Lãi nhận trước chờ phân bổ,Lãi nhận trước chờ phân bổ,Lãi nhận trước chờ phân bổ,87.535,36.021,87535.0,36021.0
Phải trả xây dựng và mua sắm tài sản cố định,Phải trả xây dựng và mua sắm tài sản cố định,Phải trả xây dựng và mua sắm tài sản cố định,347.802,357.244,347802.0,357244.0
Tiền giữ hộ chờ thanh toán,Tiền giữ hộ chờ thanh toán,Tiền giữ hộ chờ thanh toán,220.120,161.561,220120.0,161561.0
Các khoản khác phải trả khách hàng,Các khoản khác phải trả khách hàng,Các khoản khác phải trả khách hàng,1.524.150,532.487,1524150.0,532487.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,269.602,355.780,269602.0,355780.0
Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,64.528,64.528,64528.0,64528.0
Vay Bộ Tài chính,Vay Bộ Tài chính,Vay Bộ Tài chính,1.001.583,702.162,1001583.0,702162.0
Phải trả khác,Phải trả khác,Phải trả khác,1.951.289,1.805.913,1951289.0,1805913.0
,,,7.076.700,4.500.523,7076700.0,4500523.0
