row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,,8.615.363.154.443,7.739.128.121.334,1.0,,8615363154443.0,7739128121334.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,50.772.664.226,33.092.915.485,2.0,,50772664226.0,33092915485.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,28,8.564.590.490.217,7.706.035.205.849,10.0,28.0,8564590490217.0,7706035205849.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,29,7.153.297.291.319,6.537.985.006.949,11.0,29.0,7153297291319.0,6537985006949.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.411.293.198.898,1.168.050.198.900,20.0,,1411293198898.0,1168050198900.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,31,5.265.793.888,1.327.860.382,21.0,31.0,5265793888.0,1327860382.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,32,181.560.472.623,430.803.003.461,22.0,32.0,181560472623.0,430803003461.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,73.196.281.440,81.048.729.469,23.0,,73196281440.0,81048729469.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,33,553.623.183.284,423.930.312.468,25.0,33.0,553623183284.0,423930312468.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,34,133.281.909.539,117.548.223.185,26.0,34.0,133281909539.0,117548223185.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,548.093.427.340,197.096.520.168,30.0,,548093427340.0,197096520168.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,35,47.317.460.372,1.626.760.778,31.0,35.0,47317460372.0,1626760778.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,35,3.868.981.822,12.129.659.586,32.0,35.0,3868981822.0,12129659586.0
13. Lợi nhuận/(Lỗ) khác (40=31-32),13. Lợi nhuận/(Lỗ) khác (40=31-32),13. Lợi nhuận/(Lỗ) khác (40=31-32),40,,43.448.478.550,(10.502.898.808),40.0,,43448478550.0,-10502898808.0
14. (Lỗ)/läi trong công ty liên kết,14. (Lỗ)/läi trong công ty liên kết,14. (Lỗ)/läi trong công ty liên kết,45,17,(913.939.311),518.169.336,45.0,17.0,-913939311.0,518169336.0
15. Lợi nhuận trước thuế (50=30+40+45),15. Lợi nhuận trước thuế (50=30+40+45),15. Lợi nhuận trước thuế (50=30+40+45),50,,590.627.966.579,187.111.790.696,50.0,,590627966579.0,187111790696.0
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,36,139.964.060.336,113.507.690.366,51.0,36.0,139964060336.0,113507690366.0
17. Chi phí/(Thu nhập) thuế thu nhập doanh nghiệp hoãn lai,17. Chi phí/(Thu nhập) thuế thu nhập doanh nghiệp hoãn lai,17. Chi phí/(Thu nhập) thuế thu nhập doanh nghiệp hoãn lai,52,19,175.856.983,(1.941.616.332),52.0,19.0,175856983.0,-1941616332.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,450.488.049.260,75.545.716.662,60.0,,450488049260.0,75545716662.0
Phân bổ cho:- Cổ đông của Công ty mẹ,Phân bổ cho:- Cổ đông của Công ty mẹ,Phân bổ cho:- Cổ đông của Công ty mẹ,62,,450.488.049.260,75.545.716.662,62.0,,450488049260.0,75545716662.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,70,37,4.383,568,70.0,37.0,4383.0,568.0
