row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
a. Chi phí trả trước ngắn hạn,a. Chi phí trả trước ngắn hạn,a. Chi phí trả trước ngắn hạn,a. Chi phí trả trước ngắn hạn,a. Chi phí trả trước ngắn hạn,,
- Chi phí thuê cửa hàng,a. Chi phí trả trước ngắn hạn > - Chi phí thuê cửa hàng,- Chi phí thuê cửa hàng,4.941.083.841,4.854.961.022,4941083841.0,4854961022.0
- Chi phí công cụ và dụng cụ,a. Chi phí trả trước ngắn hạn > - Chi phí công cụ và dụng cụ,- Chi phí công cụ và dụng cụ,29.305.830.517,32.298.885.139,29305830517.0,32298885139.0
- Các khoản khác,a. Chi phí trả trước ngắn hạn > - Các khoản khác,- Các khoản khác,10.806.569.392,6.577.370.113,10806569392.0,6577370113.0
,,,45.053.483.750,43.731.216.274,45053483750.0,43731216274.0
b. Chi phí trả trước dài hạn,b. Chi phí trả trước dài hạn,b. Chi phí trả trước dài hạn,b. Chi phí trả trước dài hạn,b. Chi phí trả trước dài hạn,,
- Chi phí cải tạo văn phòng và cửa hàng,b. Chi phí trả trước dài hạn > - Chi phí cải tạo văn phòng và cửa hàng,- Chi phí cải tạo văn phòng và cửa hàng,16.258.714.354,12.193.523.193,16258714354.0,12193523193.0
- Chi phí thuê cửa hàng,b. Chi phí trả trước dài hạn > - Chi phí thuê cửa hàng,- Chi phí thuê cửa hàng,898.700.471,3.341.918.467,898700471.0,3341918467.0
- Chi phí công cụ và dụng cụ,b. Chi phí trả trước dài hạn > - Chi phí công cụ và dụng cụ,- Chi phí công cụ và dụng cụ,14.116.115.437,9.231.231.710,14116115437.0,9231231710.0
- Chi phí quảng cáo,b. Chi phí trả trước dài hạn > - Chi phí quảng cáo,- Chi phí quảng cáo,1.433.045.277,2.575.551.290,1433045277.0,2575551290.0
,,,32.706.575.539,27.342.224.660,32706575539.0,27342224660.0
