row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Năm trước(Trình bày lại),numeric__Mã số,numeric__Năm nay,numeric__Năm trước(Trình bày lại)
I. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,590.627.966.579,187.111.790.696,1.0,590627966579.0,187111790696.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,,,,
Khẩu hao tài sản cố định,2. Điều chỉnh cho các khoản: > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,02,34.398.406.238,30.451.035.779,2.0,34398406238.0,30451035779.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,81.777.975.537,292.518.531.341,3.0,81777975537.0,292518531341.0
Lỗ chênh lệch tỷ giá hồi doái do đánh giá lại các khoản mục tiễn tệ có gốc ngoại tệ,2. Điều chỉnh cho các khoản: > Lỗ chênh lệch tỷ giá hồi doái do đánh giá lại các khoản mục tiễn tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hồi doái do đánh giá lại các khoản mục tiễn tệ có gốc ngoại tệ,04,3.448.968.082,286.018.688,4.0,3448968082.0,286018688.0
(Lãi)/Lỗ từ hoạt động đầu tư,2. Điều chỉnh cho các khoản: > (Lãi)/Lỗ từ hoạt động đầu tư,(Lãi)/Lỗ từ hoạt động đầu tư,05,(20.718.880.379),38.178.084.255,5.0,-20718880379.0,38178084255.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,73.196.281.440,81.048.729.469,6.0,73196281440.0,81048729469.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động,08,762.730.717.497,629.594.190.228,8.0,762730717497.0,629594190228.0
(Tăng)/Giám các khoản phải thu,2. Điều chỉnh cho các khoản: > (Tăng)/Giám các khoản phải thu,(Tăng)/Giám các khoản phải thu,09,(26.455.422.977),31.791.940.883,9.0,-26455422977.0,31791940883.0
Tăng hàng tồn kho,2. Điều chỉnh cho các khoản: > Tăng hàng tồn kho,Tăng hàng tồn kho,10,(703.465.046.963),(463.209.702.616),10.0,-703465046963.0,-463209702616.0
Tăng các khoản phải trả,2. Điều chỉnh cho các khoản: > Tăng các khoản phải trả,Tăng các khoản phải trả,11,170.232.020.319,75.725.067.250,11.0,170232020319.0,75725067250.0
Tăng chi phí trả trước,2. Điều chỉnh cho các khoản: > Tăng chi phí trả trước,Tăng chi phí trả trước,12,(6.686.618.355),(31.247.149.599),12.0,-6686618355.0,-31247149599.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(70.946.216.904),(80.553.486.249),14.0,-70946216904.0,-80553486249.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(160.482.205.140),(67.771.689.466),15.0,-160482205140.0,-67771689466.0
Tiền thu/(chi) khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền thu/(chi) khác cho hoạt động kinh doanh,Tiền thu/(chi) khác cho hoạt động kinh doanh,17,7.686.200.383,(20.624.506.660),17.0,7686200383.0,-20624506660.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(27.386.572.140),73.704.663.771,20.0,-27386572140.0,73704663771.0
II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TỨ,II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TỨ,II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TỨ,II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TỨ,II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TỨ,II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TỨ,,,
1. Mua tài sản cố định và các tài sản dài hạn khác,II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TỨ > 1. Mua tài sản cố định và các tài sản dài hạn khác,1. Mua tài sản cố định và các tài sản dài hạn khác,21,(87.266.757.467),(70.364.650.219),21.0,-87266757467.0,-70364650219.0
"2. Tiền thu từ thanh lý, nhượng bán tài sản cố định","II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TỨ > 2. Tiền thu từ thanh lý, nhượng bán tài sản cố định","2. Tiền thu từ thanh lý, nhượng bán tài sản cố định",22,164.944.000.000,301.946.364,22.0,164944000000.0,301946364.0
"3. Tiền thu hồi tiền gửi tiết kiệm, bán lại các công cụ nợ của đơn vị khác","II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TỨ > 3. Tiền thu hồi tiền gửi tiết kiệm, bán lại các công cụ nợ của đơn vị khác","3. Tiền thu hồi tiền gửi tiết kiệm, bán lại các công cụ nợ của đơn vị khác",24,,26.152.150.000,24.0,,26152150000.0
4. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TỨ > 4. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,4. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,64.306.410.000,,26.0,64306410000.0,
5. Tiền thu lãi tiền gửi,II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TỨ > 5. Tiền thu lãi tiền gửi,5. Tiền thu lãi tiền gửi,27,3.951.477.458,230.025.045,27.0,3951477458.0,230025045.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TỨ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,145.935.129.991,(43.680.528.810),30.0,145935129991.0,-43680528810.0
III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"1. Tiền vay ngắn hạn, dài hạn nhận được","III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền vay ngắn hạn, dài hạn nhận được","1. Tiền vay ngắn hạn, dài hạn nhận được",33,3.251.108.227.438,4.745.829.672.583,33.0,3251108227438.0,4745829672583.0
2. Tiền chi trả nợ gốc vay,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền chi trả nợ gốc vay,2. Tiền chi trả nợ gốc vay,34,(3.006.684.533.136),(4.752.996.341.728),34.0,-3006684533136.0,-4752996341728.0
"3. Có tức, lợi nhuận đã trả cho cố động","III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Có tức, lợi nhuận đã trả cho cố động","3. Có tức, lợi nhuận đã trả cho cố động",36,(245.684.670.000),(22.678.897.800),36.0,-245684670000.0,-22678897800.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(1.260.975.698),(29.845.566.945),40.0,-1260975698.0,-29845566945.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,117.287.582.153,178.568.016,50.0,117287582153.0,178568016.0
Tiền đầu năm,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền đầu năm,Tiền đầu năm,60,37.884.639.212,37.706.071.196,60.0,37884639212.0,37706071196.0
Ảnh hưởng của thay đổi tỷ giá hồi đoái quy đổi ngoại tệ,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hồi đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hồi đoái quy đổi ngoại tệ,61,175.805.144,,61.0,175805144.0,
Tiền và tương đương tiền cuối năm (70=50+60+61),III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm (70=50+60+61),Tiền và tương đương tiền cuối năm (70=50+60+61),70,155.348.026.509,37.884.639.212,70.0,155348026509.0,37884639212.0
