row_label_raw,row_label_full,col_0,Chi phí phải trả và các khoản dư phòng khác,numeric__Chi phí phải trả và các khoản dư phòng khác
,,,VND,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.157.324.625,1157324625.0
Chuyển sang lợi nhuận trong năm,Chuyển sang lợi nhuận trong năm,Chuyển sang lợi nhuận trong năm,1.941.616.332,1941616332.0
Số dư đầu năm nay (Trình bày lại),Số dư đầu năm nay (Trình bày lại),Số dư đầu năm nay (Trình bày lại),3.098.940.957,3098940957.0
Chuyển sang lợi nhuận trong năm,Chuyển sang lợi nhuận trong năm,Chuyển sang lợi nhuận trong năm,(175.856.983),-175856983.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.923.083.974,2923083974.0
