row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Trọng năm,Trọng năm_1,Số cuối năm,Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Trọng năm,numeric__Trọng năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1
,,,Gà trì VND,Số cả khả năng trả nợ VND,Tăng VND,Giảm VND,Gà trì VND,Số cả khả năng trả nợ VND,,,,,,
Ngân hàng TMCP À Châu,Ngân hàng TMCP À Châu,Ngân hàng TMCP À Châu,-,-,330.884.630.000,(287.000.000.000),43.884.630.000,43.884.630.000,,,330884630000.0,-287000000000.0,43884630000.0,43884630000.0
Ngân hàng TMCP Công thường Việt Nam,Ngân hàng TMCP Công thường Việt Nam,Ngân hàng TMCP Công thường Việt Nam,31.000.000.000,31.000.000.000,700.228.875.453,(483.482.875.453),247.746.000.000,247.746.000.000,31000000000.0,31000000000.0,700228875453.0,-483482875453.0,247746000000.0,247746000000.0
Ngân hàng TMCP Ngonruption Việt Nam,Ngân hàng TMCP Ngonruption Việt Nam,Ngân hàng TMCP Ngonruption Việt Nam,279.947.647.855,279.947.647.855,561.537.918.780,(580.982.068.098),260.501.558.537,260.501.558.537,279947647855.0,279947647855.0,561537918780.0,-580982068098.0,260501558537.0,260501558537.0
Ngân hàng TMCP Đông Nam À,Ngân hàng TMCP Đông Nam À,Ngân hàng TMCP Đông Nam À,100.000.000.000,100.000.000.000,60.000.000.000,(160.000.000.000),-,-,100000000000.0,100000000000.0,60000000000.0,-160000000000.0,,
Ngân hàng TNHH CTSC - Chỉ mấn,Ngân hàng TNHH CTSC - Chỉ mấn,Ngân hàng TNHH CTSC - Chỉ mấn,65.669.000.000,65.669.000.000,215.210.000.000,(214.479.000.000),66.400.000.000,66.400.000.000,65669000000.0,65669000000.0,215210000000.0,-214479000000.0,66400000000.0,66400000000.0
Hô Chi Minh,Hô Chi Minh,Hô Chi Minh,-,-,-,-,-,-,,,,,,
Ngân hàng TNHH MTV Shintan Việt Nam,Hô Chi Minh > Ngân hàng TNHH MTV Shintan Việt Nam,Ngân hàng TNHH MTV Shintan Việt Nam,60.000.000.000,60.000.000.000,190.000.000.000,(180.000.000.000),60.000.000.000,60.000.000.000,60000000000.0,60000000000.0,190000000000.0,-180000000000.0,60000000000.0,60000000000.0
Ngân hàng TMCP Quân đi,Hô Chi Minh > Ngân hàng TMCP Quân đi,Ngân hàng TMCP Quân đi,60.267.509.526,60.267.509.526,102.794.991.964,(159.062.501.490),4.000.000.000,4.000.000.000,60267509526.0,60267509526.0,102794991964.0,-159062501490.0,4000000000.0,4000000000.0
Ngân hàng TMCP Đầu TuΡhết Trифin Việt Nam,Hô Chi Minh > Ngân hàng TMCP Đầu TuΡhết Trифin Việt Nam,Ngân hàng TMCP Đầu TuΡhết Trифin Việt Nam,-,-,79.295.679.416,-,79.295.679.416,79.295.679.416,,,79295679416.0,,79295679416.0,79295679416.0
Ngân hàng TMCP Quốc T&E,Hô Chi Minh > Ngân hàng TMCP Quốc T&E,Ngân hàng TMCP Quốc T&E,-,-,247.426.771.298,(148.346.816.763),99.079.954.535,99.079.954.535,,,247426771298.0,-148346816763.0,99079954535.0,99079954535.0
Ngân hàng TMCP Xiang tributimex,Hô Chi Minh > Ngân hàng TMCP Xiang tributimex,Ngân hàng TMCP Xiang tributimex,-,-,258.793.140.000,(125.085.060.000),133.708.080.000,133.708.080.000,,,258793140000.0,-125085060000.0,133708080000.0,133708080000.0
Ngân hàng China Construction,Hô Chi Minh > Ngân hàng China Construction,Ngân hàng China Construction,-,-,110.199.768.760,(6.012.000.000),104.187.768.760,104.187.768.760,,,110199768760.0,-6012000000.0,104187768760.0,104187768760.0
Ngân hàng TMCP Sản Việt,Hô Chi Minh > Ngân hàng TMCP Sản Việt,Ngân hàng TMCP Sản Việt,-,-,59.399.532.596,-,59.399.532.596,59.399.532.596,,,59399532596.0,,59399532596.0,59399532596.0
Ngân hàng TMCP Hoàng Đông Việt Nam,Hô Chi Minh > Ngân hàng TMCP Hoàng Đông Việt Nam,Ngân hàng TMCP Hoàng Đông Việt Nam,300.000.000.000,300.000.000.000,18.867.373.805,(100.000.000.000),18.867.373.805,18.867.373.805,300000000000.0,300000000000.0,18867373805.0,-100000000000.0,18867373805.0,18867373805.0
Các cả nhân,Hô Chi Minh > Các cả nhân,Các cả nhân,265.572.301.515,265.572.301.515,309.846.337.215,(335.430.271.332),239.988.367.398,239.988.367.398,265572301515.0,265572301515.0,309846337215.0,-335430271332.0,239988367398.0,239988367398.0
Vay đổi han đến han trả (Thuyết minh số 23),Hô Chi Minh > Vay đổi han đến han trả (Thuyết minh số 23),Vay đổi han đến han trả (Thuyết minh số 23),26.804.000.000,26.804.000.000,31.894.000.000,(26.804.000.000),31.894.000.000,31.894.000.000,26804000000.0,26804000000.0,31894000000.0,-26804000000.0,31894000000.0,31894000000.0
,,,1.189.260.458.896,1.189.260.458.896,3.266.379.019.287,(3.006.684.533.136),1.448.954.945.047,1.448.954.945.047,1189260458896.0,1189260458896.0,3266379019287.0,-3006684533136.0,1448954945047.0,1448954945047.0
