row_label_raw,row_label_full,col_0,Mã số,Trình bàynăm trước > VND,Số trình bày lại > VND,Thay đổi > VND,numeric__Mã số,numeric__Trình bàynăm trước > VND,numeric__Số trình bày lại > VND,numeric__Thay đổi > VND
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,197.323.379.502,187.111.790.696,(10.211.588.806),1.0,197323379502.0,187111790696.0,-10211588806.0
Lợi nhuận từ hoạt động kinh doanh trước,Lợi nhuận từ hoạt động kinh doanh trước,Lợi nhuận từ hoạt động kinh doanh trước,08,639.805.779.034,629.594.190.228,(10.211.588.806),8.0,639805779034.0,629594190228.0,-10211588806.0
thay đổi vốn lưu động,thay đổi vốn lưu động,thay đổi vốn lưu động,,,,,,,,
Giảm các khoản phải trả,thay đổi vốn lưu động > Giảm các khoản phải trả,Giảm các khoản phải trả,11,65.513.478.444,75.725.067.250,10.211.588.806,11.0,65513478444.0,75725067250.0,10211588806.0
