row_label_raw,row_label_full,CHI PHI QUAN LY DOANH NGHIỆP,CHI PHI QUAN LY DOANH NGHIỆP_1,CHI PHI QUAN LY DOANH NGHIỆP_2,numeric__CHI PHI QUAN LY DOANH NGHIỆP_1,numeric__CHI PHI QUAN LY DOANH NGHIỆP_2
,,,Năm nayVND,Năm trước(Trình bày lại)VND,,
Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,41.247.500,134.424.660,41247500.0,134424660.0
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,77.044.830.973,66.302.994.075,77044830973.0,66302994075.0
Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,4.873.111.005,5.294.172.298,4873111005.0,5294172298.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,9.271.901.805,10.300.718.453,9271901805.0,10300718453.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",125.000.000,260.977.200,125000000.0,260977200.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,4.863.483.409,5.627.138.663,4863483409.0,5627138663.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,37.062.334.847,29.627.797.836,37062334847.0,29627797836.0
,,,133.281.909.539,117.548.223.185,133281909539.0,117548223185.0
