row_label_raw,row_label_full,col_0,Mã số,Trình bàynăm trước,Số trình bày lại,Thay đổi,numeric__Mã số,numeric__Trình bàynăm trước,numeric__Số trình bày lại,numeric__Thay đổi
,,,,VND,VND,VND,,,,
Doanh thu bán hàng và cung cấpdịch vụ,Doanh thu bán hàng và cung cấpdịch vụ,Doanh thu bán hàng và cung cấpdịch vụ,01,7.741.445.592.122,7.739.128.121.334,(2.317.470.788),1.0,7741445592122.0,7739128121334.0,-2317470788.0
Doanh thu thuần về bán hàng và cung cấpdịch vụ,Doanh thu thuần về bán hàng và cung cấpdịch vụ,Doanh thu thuần về bán hàng và cung cấpdịch vụ,10,7.708.352.676.637,7.710.670.147.425,2.317.470.788,10.0,7708352676637.0,7710670147425.0,2317470788.0
Lợi nhuận gộp về bán hàng và cung cấpdịch vụ,Lợi nhuận gộp về bán hàng và cung cấpdịch vụ,Lợi nhuận gộp về bán hàng và cung cấpdịch vụ,20,1.165.732.728.112,1.168.050.198.900,2.317.470.788,20.0,1165732728112.0,1168050198900.0,2317470788.0
Chi phí khác,Chi phí khác,Chi phí khác,32,4.235.541.568,12.129.659.586,7.894.118.018,32.0,4235541568.0,12129659586.0,7894118018.0
Lỗ khác,Lỗ khác,Lỗ khác,40,(2.608.780.790),(10.502.898.808),(7.894.118.018),40.0,-2608780790.0,-10502898808.0,-7894118018.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,50,197.323.379.502,187.111.790.696,(10.211.588.806),50.0,197323379502.0,187111790696.0,-10211588806.0
Chi phí thuế thu nhập doanh nghiệp hiệnhành,Chi phí thuế thu nhập doanh nghiệp hiệnhành,Chi phí thuế thu nhập doanh nghiệp hiệnhành,51,46.596.055.972,113.507.690.366,66.911.634.394,51.0,46596055972.0,113507690366.0,66911634394.0
Thu nhập thuế thu nhập doanh nghiệphoản lại,Thu nhập thuế thu nhập doanh nghiệphoản lại,Thu nhập thuế thu nhập doanh nghiệphoản lại,52,(1.575.489.218),(1.941.616.332),(366.127.114),52.0,-1575489218.0,-1941616332.0,-366127114.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,152.302.812.748,75.545.716.662,(76.757.096.086),60.0,152302812748.0,75545716662.0,-76757096086.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,1.347,568,(779),70.0,1347.0,568.0,-779.0
