row_label_raw,row_label_full,Công ty TNHH ToTal Gaz Vietnam,Số cuối năm VND > -,Số đầu năm VND > 362.078.769,numeric__Số cuối năm VND > -,numeric__Số đầu năm VND > 362.078.769
FH Trautz Gmbh,FH Trautz Gmbh,FH Trautz Gmbh,8.044.011.168,6.531.852.825,8044011168.0,6531852825.0
Công ty DC&D,Công ty DC&D,Công ty DC&D,3.448.548.729,-,3448548729.0,
Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,22.612.697.469,22.320.474.188,22612697469.0,22320474188.0
,,,34.105.257.366,29.214.405.782,34105257366.0,29214405782.0
