row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phản mềm máy tính VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phản mềm máy tính VND,numeric__Tổng VND
NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,,,
Số đầu năm,NGUYÊN GIẢ > Số đầu năm,Số đầu năm,287.806.678.988,7.938.687.583,295.745.366.571,287806678988.0,7938687583.0,295745366571.0
Tăng trong năm,NGUYÊN GIẢ > Tăng trong năm,Tăng trong năm,30.325.170.052,-,30.325.170.052,30325170052.0,,30325170052.0
Thanh lý,NGUYÊN GIẢ > Thanh lý,Thanh lý,(112.726.341.150),-,(112.726.341.150),-112726341150.0,,-112726341150.0
Số cuối năm,NGUYÊN GIẢ > Số cuối năm,Số cuối năm,205.405.507.890,7.938.687.583,213.344.195.473,205405507890.0,7938687583.0,213344195473.0
GIẢ TRỊ HAO MÒN LỦY KẾ,GIẢ TRỊ HAO MÒN LỦY KẾ,GIẢ TRỊ HAO MÒN LỦY KẾ,GIẢ TRỊ HAO MÒN LỦY KẾ,GIẢ TRỊ HAO MÒN LỦY KẾ,GIẢ TRỊ HAO MÒN LỦY KẾ,,,
Số đầu năm,GIẢ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,-,3.375.410.399,3.375.410.399,,3375410399.0,3375410399.0
Khẩu hao trong năm,GIẢ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,-,1.365.243.192,1.365.243.192,,1365243192.0,1365243192.0
Số cuối năm,GIẢ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,-,4.740.653.591,4.740.653.591,,4740653591.0,4740653591.0
GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,,,
Tại ngày cuối năm,GIẢ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,205.405.507.890,3.198.033.992,208.603.541.882,205405507890.0,3198033992.0,208603541882.0
Tại ngày đầu năm,GIẢ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,287.806.678.988,4.563.277.184,292.369.956.172,287806678988.0,4563277184.0,292369956172.0
