row_label_raw,row_label_full,col_0,Nhà xuǒng vàvát kiěn trúcVND,Máy móc vàthiết bịVND,Thiết bịvăn phòngVND,Phương tiệnvăn tàiVND,TổngVND,numeric__Nhà xuǒng vàvát kiěn trúcVND,numeric__Máy móc vàthiết bịVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvăn tàiVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,125.446.320.504,151.843.046.642,34.746.394.609,14.435.891.325,326.471.653.080,125446320504.0,151843046642.0,34746394609.0,14435891325.0,326471653080.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,12.912.317.453,32.036.762.577,5.286.703.709,4.908.304.300,55.144.088.039,12912317453.0,32036762577.0,5286703709.0,4908304300.0,55144088039.0
Thanh lý,NGUYÊN GIÁ > Thanh lý,Thanh lý,(9.423.420.273),(140.576.078),(43.267.852),(1.410.345.571),(11.017.609.774),-9423420273.0,-140576078.0,-43267852.0,-1410345571.0,-11017609774.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,128.935.217.684,183.739.233.141,39.989.830.466,17.933.850.054,370.598.131.345,128935217684.0,183739233141.0,39989830466.0,17933850054.0,370598131345.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,
Số đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số đầu năm,Số đầu năm,21.605.908.634,85.546.479.087,20.018.423.208,5.568.236.150,132.739.047.079,21605908634.0,85546479087.0,20018423208.0,5568236150.0,132739047079.0
Khâu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khâu hao trong năm,Khâu hao trong năm,5.186.573.321,19.272.728.127,7.238.903.169,1.334.958.429,33.033.163.046,5186573321.0,19272728127.0,7238903169.0,1334958429.0,33033163046.0
Thanh lý,GIÁ TRỊ HAO MÔN LỦY KẾ > Thanh lý,Thanh lý,(843.208.952),(140.576.078),(39.367.852),(1.348.799.209),(2.371.952.091),-843208952.0,-140576078.0,-39367852.0,-1348799209.0,-2371952091.0
Số cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số cuối năm,Số cuối năm,25.949.273.003,104.678.631.136,27.217.958.525,5.554.395.370,163.400.258.034,25949273003.0,104678631136.0,27217958525.0,5554395370.0,163400258034.0
GIÁ TRỊ CÔN LAI,GIÁ TRỊ CÔN LAI,GIÁ TRỊ CÔN LAI,GIÁ TRỊ CÔN LAI,GIÁ TRỊ CÔN LAI,GIÁ TRỊ CÔN LAI,GIÁ TRỊ CÔN LAI,GIÁ TRỊ CÔN LAI,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÔN LAI > Tại ngày cuối năm,Tại ngày cuối năm,102.985.944.681,79.060.602.005,12.771.871.941,12.379.454.684,207.197.873.311,102985944681.0,79060602005.0,12771871941.0,12379454684.0,207197873311.0
Tại ngày đầu năm,GIÁ TRỊ CÔN LAI > Tại ngày đầu năm,Tại ngày đầu năm,103.840.411.870,66.296.567.555,14.727.971.401,8.867.655.175,193.732.606.001,103840411870.0,66296567555.0,14727971401.0,8867655175.0,193732606001.0
