row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Dự phòng chi phí bảo hành,Ngắn hạn > Dự phòng chi phí bảo hành,Dự phòng chi phí bảo hành,58.277.225.841,55.746.190.786,58277225841.0,55746190786.0
Dự phòng trợ cấp thời việc,Ngắn hạn > Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,-,3.101.380.000,,3101380000.0
"Dự phòng chi phí phá dỡ, di đời nhà máy","Ngắn hạn > Dự phòng chi phí phá dỡ, di đời nhà máy","Dự phòng chi phí phá dỡ, di đời nhà máy",14.547.500.000,-,14547500000.0,
Dự phòng phải trả ngắn hạn khác,Ngắn hạn > Dự phòng phải trả ngắn hạn khác,Dự phòng phải trả ngắn hạn khác,3.415.800.511,-,3415800511.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,76.240.526.352,58.847.570.786,76240526352.0,58847570786.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Dự phòng chi phí bảo hành,Dài hạn > Dự phòng chi phí bảo hành,Dự phòng chi phí bảo hành,74.004.518.026,72.697.331.610,74004518026.0,72697331610.0
Dự phòng trợ cấp thời việc,Dài hạn > Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,6.767.221.760,795.880.750,6767221760.0,795880750.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,80.771.739.786,73.493.212.360,80771739786.0,73493212360.0
