row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
400,400,400,D. VỐN CHỦ SỞ HỮU,,8.215.186.626.885,8.645.527.413.862,,,8215186626885.0,8645527413862.0
410,410,410,I. Vốn chủ sở hữu,26,8.208.689.065.742,8.637.963.552.723,,26.0,8208689065742.0,8637963552723.0
411,411,411,1. Vốn cổ phần đã phát hành,,4.882.440.000.000,4.882.440.000.000,,,4882440000000.0,4882440000000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,4.882.440.000.000,4.882.440.000.000,,,4882440000000.0,4882440000000.0
412,412,412,2. Thặng dư vốn cổ phần,,13.074.761.451,66.457.000.000,,,13074761451.0,66457000000.0
414,414,414,3. Vốn khác,,77.388.963.577,147.588.933.577,,,77388963577.0,147588933577.0
415,415,415,4. Cổ phiếu quỹ,,(102.997.990.700),-,,,-102997990700.0,
418,418,418,5. Quỹ đầu tư phát triển,,76.059.032.630,77.023.242.245,,,76059032630.0,77023242245.0
421,421,421,6. Lợi nhuận sau thuế chưa phân phối,,1.900.046.809.522,1.169.045.332.340,,,1900046809522.0,1169045332340.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,,1.098.341.800.084,571.721.116.419,,,1098341800084.0,571721116419.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,801.705.009.438,597.324.215.921,,,801705009438.0,597324215921.0
429,429,429,7. Lợi ích cổ đông không kiểm soát,,1.362.677.489.262,2.295.409.044.561,,,1362677489262.0,2295409044561.0
430,430,430,II. Nguồn kinh phí và quỹ khác,,6.497.561.143,7.563.861.139,,,6497561143.0,7563861139.0
432,432,432,1. Nguồn kinh phí đã hình thành tài sản cổ định,,6.497.561.143,7.563.861.139,,,6497561143.0,7563861139.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,27.152.092.659.708,21.230.404.859.577,,,27152092659708.0,21230404859577.0
