row_label_raw,row_label_full,Tên đơn vị,Số cuối năm > Tỷ lệ lợi ích (%),Số cuối năm > Tỷ lệ quyền biểu quyết (%),Số đầu năm > Tỷ lệ lợi ích (%),Số đầu năm > Tỷ lệ quyền biểu quyết (%),numeric__Số cuối năm > Tỷ lệ lợi ích (%),numeric__Số cuối năm > Tỷ lệ quyền biểu quyết (%),numeric__Số đầu năm > Tỷ lệ lợi ích (%),numeric__Số đầu năm > Tỷ lệ quyền biểu quyết (%)
Công ty TNHH SAS CTAMAD (*),Công ty TNHH SAS CTAMAD (*),Công ty TNHH SAS CTAMAD (*),"(i) 27,05","35,00","26,95%","35,00",,35.0,0.2695,35.0
Tổng Công ty Cổ phần Thiết bị Điện Đông Anh - Công ty Cổ phần (iv) (**),Tổng Công ty Cổ phần Thiết bị Điện Đông Anh - Công ty Cổ phần (iv) (**),Tổng Công ty Cổ phần Thiết bị Điện Đông Anh - Công ty Cổ phần (iv) (**),"(i) 22,38","24,95","19,99","24,95",,24.95,19.99,24.95
Tổng Công ty Viglacera – CTCP (v) (***),Tổng Công ty Viglacera – CTCP (v) (***),Tổng Công ty Viglacera – CTCP (v) (***),"46,07","46,07","24,96","24,96",46.07,46.07,24.96,24.96
Công ty Cổ phần Đầu tư Khu Công nghiệp Dầu khí Long Sơn (****),Công ty Cổ phần Đầu tư Khu Công nghiệp Dầu khí Long Sơn (****),Công ty Cổ phần Đầu tư Khu Công nghiệp Dầu khí Long Sơn (****),"25,47","25,47",-,-,25.47,25.47,,
Công ty Cổ phần Căng Đồng Nai (ii),Công ty Cổ phần Căng Đồng Nai (ii),Công ty Cổ phần Căng Đồng Nai (ii),-,-,"20,25","20,25",,,20.25,20.25
Công ty Cổ phần MHC (iii),Công ty Cổ phần MHC (iii),Công ty Cổ phần MHC (iii),-,-,"12,60","23,00",,,12.6,23.0
Công ty TNHH Phát triển Bất động sản SORECO (iv),Công ty TNHH Phát triển Bất động sản SORECO (iv),Công ty TNHH Phát triển Bất động sản SORECO (iv),-,-,"27,39","50,00",,,27.39,50.0
Công ty Cổ phần Phát triển Bất động sản The Pier (iv),Công ty Cổ phần Phát triển Bất động sản The Pier (iv),Công ty Cổ phần Phát triển Bất động sản The Pier (iv),-,-,"27,39","50,00",,,27.39,50.0
Công ty Cổ phần Xây dựng Công trình và Thương mại 747 (Sowatco - Eco 747) (iv),Công ty Cổ phần Xây dựng Công trình và Thương mại 747 (Sowatco - Eco 747) (iv),Công ty Cổ phần Xây dựng Công trình và Thương mại 747 (Sowatco - Eco 747) (iv),-,-,"22,65","49,00",,,22.65,49.0
Công ty Liên doanh Phát triển Tiếp vận Số 1 (VICT) (iv),Công ty Liên doanh Phát triển Tiếp vận Số 1 (VICT) (iv),Công ty Liên doanh Phát triển Tiếp vận Số 1 (VICT) (iv),-,-,"17,10","37,00",,,17.1,37.0
Công ty TNHH Lô-Gi-Stic Gefco - Sotrans (iv),Công ty TNHH Lô-Gi-Stic Gefco - Sotrans (iv),Công ty TNHH Lô-Gi-Stic Gefco - Sotrans (iv),-,-,"13,42","24,50",,,13.42,24.5
Công ty Cổ phần Dịch vụ Tổng hợp Đường thủy Miền Nam (Sowatcoser) (iv),Công ty Cổ phần Dịch vụ Tổng hợp Đường thủy Miền Nam (Sowatcoser) (iv),Công ty Cổ phần Dịch vụ Tổng hợp Đường thủy Miền Nam (Sowatcoser) (iv),-,-,"12,14","26,27",,,12.14,26.27
Công ty TNHH SCI Nghệ An (v),Công ty TNHH SCI Nghệ An (v),Công ty TNHH SCI Nghệ An (v),-,-,"49,00","49,00",,,49.0,49.0
Công ty Dây đồng Việt Nam CFT (vi),Công ty Dây đồng Việt Nam CFT (vi),Công ty Dây đồng Việt Nam CFT (vi),-,-,"45,00","36,35",,,45.0,36.35
