row_label_raw,row_label_full,col_0,Số đầu năm(Trình bày lại),Tăng giá trị khoảnđầu tư,Phần lợi nhuận/(lỗ)từ công ty liên kếttrong năm,Các điều chỉnhkhác,Cổ tức được chiatrong năm,Thoái đầu tư,Chuyển thànhcông ty con,Số cuối năm,numeric__Số đầu năm(Trình bày lại),numeric__Tăng giá trị khoảnđầu tư,numeric__Phần lợi nhuận/(lỗ)từ công ty liên kếttrong năm,numeric__Các điều chỉnhkhác,numeric__Cổ tức được chiatrong năm,numeric__Thoái đầu tư,numeric__Chuyển thànhcông ty con,numeric__Số cuối năm
Tổng Công ty Thiết bị điệnĐồng Anh – CTPC,Tổng Công ty Thiết bị điệnĐồng Anh – CTPC,Tổng Công ty Thiết bị điệnĐồng Anh – CTPC,495.980.961.571,-,35.383.425.897,5.585.211.041,(10.549.744.500),-,-,526.399.854.009,495980961571.0,,35383425897.0,5585211041.0,-10549744500.0,,,526399854009.0
Công ty Liên doanh Pháttriển Tiếp vận Số 1,Công ty Liên doanh Pháttriển Tiếp vận Số 1,Công ty Liên doanh Pháttriển Tiếp vận Số 1,345.402.903.975,-,3.016.304.235,-,-,(348.419.208.210),-,-,345402903975.0,,3016304235.0,,,-348419208210.0,,
Công ty TNHH S.A.S –CTAMAD,Công ty TNHH S.A.S –CTAMAD,Công ty TNHH S.A.S –CTAMAD,293.562.954.572,-,6.759.196.835,-,(16.100.000.000),-,-,284.222.151.407,293562954572.0,,6759196835.0,,-16100000000.0,,,284222151407.0
Công ty TNHH SCI NghệAn,Công ty TNHH SCI NghệAn,Công ty TNHH SCI NghệAn,145.749.620.699,-,(8.898.753.381),-,-,(136.850.867.318),-,-,145749620699.0,,-8898753381.0,,,-136850867318.0,,
Công ty Dây đồng ViệtNam – CFT,Công ty Dây đồng ViệtNam – CFT,Công ty Dây đồng ViệtNam – CFT,154.394.140.947,-,240.850.949,-,(21.810.000.000),-,(132.824.991.896),-,154394140947.0,,240850949.0,,-21810000000.0,,-132824991896.0,
Công ty Cổ phần MHC,Công ty Cổ phần MHC,Công ty Cổ phần MHC,109.313.910.853,-,(18.088.463.942),-,-,(91.225.446.911),,-,109313910853.0,,-18088463942.0,,,-91225446911.0,,
Công ty Cổ phần Phát triểnBắt động sản The Pier,Công ty Cổ phần Phát triểnBắt động sản The Pier,Công ty Cổ phần Phát triểnBắt động sản The Pier,9.976.232.119,-,(1.409.430),-,-,(9.974.822.689),-,-,9976232119.0,,-1409430.0,,,-9974822689.0,,
Công ty TNHH Phát triểnBắt động sản SORECO,Công ty TNHH Phát triểnBắt động sản SORECO,Công ty TNHH Phát triểnBắt động sản SORECO,9.939.366.454,-,(1.263.379),-,-,(9.938.103.075),-,-,9939366454.0,,-1263379.0,,,-9938103075.0,,
Công ty Cổ phần Dịch vụTổng hợp Đường thủyMiền Nam,Công ty Cổ phần Dịch vụTổng hợp Đường thủyMiền Nam,Công ty Cổ phần Dịch vụTổng hợp Đường thủyMiền Nam,3.176.723.860,-,12.033.904,-,-,(3.188.757.764),-,-,3176723860.0,,12033904.0,,,-3188757764.0,,
Tổng Công ty Viglacera –CTCP (a),Tổng Công ty Viglacera –CTCP (a),Tổng Công ty Viglacera –CTCP (a),2.405.947.450.344,2.226.336.159.553,164.631.438.724,(15.828.609.132),(123.120.360.000),-,-,4.657.966.079.489,2405947450344.0,2226336159553.0,164631438724.0,-15828609132.0,-123120360000.0,,,4657966079489.0
Công ty Cổ phần CắngĐồng Nai,Công ty Cổ phần CắngĐồng Nai,Công ty Cổ phần CắngĐồng Nai,259.616.775.678,-,9.839.471.626,(3.440.438.915),(5.625.000.000),(260.390.808.389),-,-,259616775678.0,,9839471626.0,-3440438915.0,-5625000000.0,-260390808389.0,,
Công ty Cổ phần Đầu tưKhu Công Nghiệp Dầu khíLong Sơn (b),Công ty Cổ phần Đầu tưKhu Công Nghiệp Dầu khíLong Sơn (b),Công ty Cổ phần Đầu tưKhu Công Nghiệp Dầu khíLong Sơn (b),-,214.857.287.888,920.160.318,-,-,-,-,215.777.448.206,,214857287888.0,920160318.0,,,,,215777448206.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.233.061.041.072,2.441.193.447.441,193.812.992.356,(13.683.837.006),(177.205.104.500),(859.988.014.356),(132.824.991.896),5.684.365.533.111,4233061041072.0,2441193447441.0,193812992356.0,-13683837006.0,-177205104500.0,-859988014356.0,-132824991896.0,5684365533111.0
