row_label_raw,row_label_full,Nội dung,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,Đơn vị tính: VND > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý,numeric__Đơn vị tính: VND > Dự phòng
Công ty Cổ phần Đầu tư Phát triển Xây dựng,Công ty Cổ phần Đầu tư Phát triển Xây dựng,Công ty Cổ phần Đầu tư Phát triển Xây dựng,390.897.336.198,415.317.457.000,-,-,-,-,390897336198.0,415317457000.0,,,,
Công ty Cổ phần Thủy điện,Công ty Cổ phần Thủy điện,Công ty Cổ phần Thủy điện,121.825.287.635,129.479.756.000,-,-,-,-,121825287635.0,129479756000.0,,,,
Nậm Mu,Nậm Mu,Nậm Mu,,,,,,,,,,,,
Công ty Cổ phần DAP – Vinachem,Nậm Mu > Công ty Cổ phần DAP – Vinachem,Công ty Cổ phần DAP – Vinachem,119.142.075.890,159.211.360.000,-,26.994.070.460,26.994.070.460,-,119142075890.0,159211360000.0,,26994070460.0,26994070460.0,
Công ty Cổ phần GTNFoods,Nậm Mu > Công ty Cổ phần GTNFoods,Công ty Cổ phần GTNFoods,9.013.174.170,9.275.994.000,-,,,,9013174170.0,9275994000.0,,,,
Công ty Cổ phần SCI – S99,Nậm Mu > Công ty Cổ phần SCI – S99,Công ty Cổ phần SCI – S99,-,-,-,15.222.800.000,17.000.000.000,-,,,,15222800000.0,17000000000.0,
Các cổ phiếu khác,Nậm Mu > Các cổ phiếu khác,Các cổ phiếu khác,-,-,-,127.872.558,7.069.860,(120.802.698),,,,127872558.0,7069860.0,-120802698.0
TỔNG CỘNG,Nậm Mu > TỔNG CỘNG,TỔNG CỘNG,640.877.873.893,713.284.567.000,-,42.344.743.018,44.001.140.320,(120.802.698),640877873893.0,713284567000.0,,42344743018.0,44001140320.0,-120802698.0
