row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải, truyền dẫn","Thiết bị, dụng cụquản lý",Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiệnvận tải, truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,4.657.451.705.977,3.671.829.900.643,1.053.705.619.175,44.627.387.444,9.427.614.613.239,4657451705977.0,3671829900643.0,1053705619175.0,44627387444.0,9427614613239.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,1.446.233.399,58.628.484.916,81.847.376.808,2.238.798.011,144.160.893.134,1446233399.0,58628484916.0,81847376808.0,2238798011.0,144160893134.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,210.748.193.105,571.447.559.209,37.139.359.618,217.300.000,819.552.411.932,210748193105.0,571447559209.0,37139359618.0,217300000.0,819552411932.0
- Phân loại lại,Nguyên giá: > - Phân loại lại,- Phân loại lại,(1.585.612.914),1.585.612.914,-,-,-,-1585612914.0,1585612914.0,,,
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(26.477.223.429),(17.469.364.321),(196.697.345),(44.143.285.095),,-26477223429.0,-17469364321.0,-196697345.0,-44143285095.0
- Phân loại lại sang bắt động sản đầu tư,Nguyên giá: > - Phân loại lại sang bắt động sản đầu tư,- Phân loại lại sang bắt động sản đầu tư,(9.412.448.014),(1.009.326.341),-,(4.376.798.273),(14.798.572.628),-9412448014.0,-1009326341.0,,-4376798273.0,-14798572628.0
"- Tăng, giảm khác","Nguyên giá: > - Tăng, giảm khác","- Tăng, giảm khác",(128.861.409),(939.792.245),(84.815.000),(75.972.706),(1.229.441.360),-128861409.0,-939792245.0,-84815000.0,-75972706.0,-1229441360.0
- Tăng do hợp nhất kinh doanh,Nguyên giá: > - Tăng do hợp nhất kinh doanh,- Tăng do hợp nhất kinh doanh,146.430.649.951,276.163.668.715,4.396.572.753,1.075.348.353,428.066.239.772,146430649951.0,276163668715.0,4396572753.0,1075348353.0,428066239772.0
- Giảm do thoái vốn tại công ty con,Nguyên giá: > - Giảm do thoái vốn tại công ty con,- Giảm do thoái vốn tại công ty con,(520.042.470.236),(114.948.082.997),(940.546.461.373),(6.741.660.931),(1.582.278.675.537),-520042470236.0,-114948082997.0,-940546461373.0,-6741660931.0,-1582278675537.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,4.484.907.389.859,4.436.280.801.385,218.988.287.660,36.767.704.553,9.176.944.183.457,4484907389859.0,4436280801385.0,218988287660.0,36767704553.0,9176944183457.0
