row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí nhân công,Chi phí bán hàng > Chi phí nhân công,Chi phí nhân công,128.633.624.071,158.671.903.988,128633624071.0,158671903988.0
Chi phí khấu hao,Chi phí bán hàng > Chi phí khấu hao,Chi phí khấu hao,8.126.653.227,7.281.779.821,8126653227.0,7281779821.0
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,148.851.743.554,154.847.842.159,148851743554.0,154847842159.0
Chi phí bán hàng khác,Chi phí bán hàng > Chi phí bán hàng khác,Chi phí bán hàng khác,184.800.277.764,164.993.054.030,184800277764.0,164993054030.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,470.412.298.616,485.794.579.998,470412298616.0,485794579998.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
"Chi phí nguyên liệu, vật liệu","Chi phí quản lý doanh nghiệp > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",4.433.054.787,7.967.211.884,4433054787.0,7967211884.0
Chi phí nhân công,Chi phí quản lý doanh nghiệp > Chi phí nhân công,Chi phí nhân công,270.100.167.460,304.396.895.955,270100167460.0,304396895955.0
Chi phí khấu hao,Chi phí quản lý doanh nghiệp > Chi phí khấu hao,Chi phí khấu hao,25.332.708.170,21.185.161.667,25332708170.0,21185161667.0
"Tiền thuê đất và thuế, lệ phí khác","Chi phí quản lý doanh nghiệp > Tiền thuê đất và thuế, lệ phí khác","Tiền thuê đất và thuế, lệ phí khác",8.759.271.978,12.346.039.049,8759271978.0,12346039049.0
Phân bổ lợi thế thương mại (Thuyết minh số 17),Chi phí quản lý doanh nghiệp > Phân bổ lợi thế thương mại (Thuyết minh số 17),Phân bổ lợi thế thương mại (Thuyết minh số 17),105.226.895.900,130.549.927.528,105226895900.0,130549927528.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,123.026.528.696,105.214.301.542,123026528696.0,105214301542.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,103.976.001.614,153.649.135.768,103976001614.0,153649135768.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,640.854.628.605,735.308.673.393,640854628605.0,735308673393.0
