row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,27.1,18.086.263.045.058,15.440.420.151.460,,271.0,18086263045058.0,15440420151460.0
02,02,02,2. Các khoản giảm trừ doanh thu,27.1,(137.550.122.622),(125.434.232.938),,271.0,-137550122622.0,-125434232938.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,27.1,17.948.712.922.436,15.314.985.918.522,,271.0,17948712922436.0,15314985918522.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,28,(15.321.523.056.447),(12.576.002.760.296),,28.0,-15321523056447.0,-12576002760296.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,2.627.189.865.989,2.738.983.158.226,,,2627189865989.0,2738983158226.0
21,21,21,6. Doanh thu hoạt động tài chính,27.2,697.421.975.278,340.995.992.447,,272.0,697421975278.0,340995992447.0
22,22,22,7. Chi phí tài chính,29,(1.119.920.502.681),(838.373.107.258),,29.0,-1119920502681.0,-838373107258.0
23,23,23,Trong đó: Chi phí lãi vay,,(766.000.118.220),(634.359.800.542),,,-766000118220.0,-634359800542.0
24,24,24,8. Phần lãi trong công ty liên kết,,39.286.013.627,113.349.134.774,,,39286013627.0,113349134774.0
25,25,25,9. Chi phí bán hàng,30,(470.412.298.616),(485.794.579.998),,30.0,-470412298616.0,-485794579998.0
26,26,26,10. Chi phí quản lý doanh nghiệp,30,(640.854.628.605),(735.308.673.393),,30.0,-640854628605.0,-735308673393.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,1.132.710.424.992,1.133.851.924.798,,,1132710424992.0,1133851924798.0
31,31,31,12. Thu nhập khác,31,75.510.099.329,21.537.107.316,,31.0,75510099329.0,21537107316.0
32,32,32,13. Chi phí khác,31,(11.025.161.423),(84.435.927.150),,31.0,-11025161423.0,-84435927150.0
40,40,40,14. Lợi nhuận/(lỗ) khác,31,64.484.937.906,(62.898.819.834),,31.0,64484937906.0,-62898819834.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế,,1.197.195.362.898,1.070.953.104.964,,,1197195362898.0,1070953104964.0
51,51,51,16. Chi phí thuế TNDN hiện hành,33.1,(209.712.288.123),(267.688.696.428),,331.0,-209712288123.0,-267688696428.0
52,52,52,17. (Chi phí)/thu nhập thuế TNDN hoãn lại,33.3,(7.831.713.320),17.691.493.734,,333.0,-7831713320.0,17691493734.0
60,60,60,18. Lợi nhuận sau thuế TNDN,,979.651.361.455,820.955.902.270,,,979651361455.0,820955902270.0
61,61,61,19. Lợi nhuận sau thuế của công ty mẹ,,801.705.009.438,603.171.362.635,,,801705009438.0,603171362635.0
62,62,62,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,26.1,177.946.352.017,217.784.539.635,,261.0,177946352017.0,217784539635.0
