row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019 (đảđược trình bàytrước đây),Đơn vị tính: VND > Điều chỉnh,Đơn vị tính: VND > Ngày 31 tháng 12năm 2019(trình bày lại),numeric__Ngày 31 tháng 12năm 2019 (đảđược trình bàytrước đây),numeric__Đơn vị tính: VND > Điều chỉnh,numeric__Đơn vị tính: VND > Ngày 31 tháng 12năm 2019(trình bày lại)
BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,,,
Đầu tư vào công ty liên kếtLợi nhuận sau thuế chưaphân phối năm nay,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Đầu tư vào công ty liên kếtLợi nhuận sau thuế chưaphân phối năm nay,Đầu tư vào công ty liên kếtLợi nhuận sau thuế chưaphân phối năm nay,4.264.571.809.545,(31.510.768.473),4.233.061.041.072,4264571809545.0,-31510768473.0,4233061041072.0
Đầu tư vào công ty liên kếtLợi nhuận sau thuế chưaphân phối năm nay,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Đầu tư vào công ty liên kếtLợi nhuận sau thuế chưaphân phối năm nay,Đầu tư vào công ty liên kếtLợi nhuận sau thuế chưaphân phối năm nay,628.834.984.394,(31.510.768.473),597.324.215.921,628834984394.0,-31510768473.0,597324215921.0
Đầu tư vào công ty liên kếtLợi nhuận sau thuế chưaphân phối năm nay,Đầu tư vào công ty liên kếtLợi nhuận sau thuế chưaphân phối năm nay,Đầu tư vào công ty liên kếtLợi nhuận sau thuế chưaphân phối năm nay,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019(đả được trình bàytrước đây),Điều chỉnh,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019(trình bày lại),,,
