row_label_raw,row_label_full,STT,Tên công ty,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Địa chỉi trụ sở chính,Hoạt động chính,numeric__Tên công ty,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Địa chỉi trụ sở chính,numeric__Hoạt động chính
1,1,1,"Công ty Cổ phần Phú Thạnh Mỹ (""Phú Thạnh Mỹ"")","73,16%","73,16%","Tổ 9, thôn Thạnh Mỹ 2, thị trấn Thạnh Mỹ, huyện Nam Giang, tỉnh Quảng Nam",Sản xuất thủy điện,,0.7315999999999999,0.7315999999999999,,
2,2,2,"Công ty TNHH Một thành viên Năng lượng GELEX Ninh Thuận (""Gelex Ninh Thuận"")",100%,100%,"Thôn Sơn Hải, xã Phước Dinh, huyện Thuận Nam, tỉnh Ninh Thuận","Sản xuất, truyền tải và phân phối điện mặt trời",,1.0,1.0,,
3,3,3,"Công ty Cổ phần Đầu tư Nước sạch Sống Đà (""Viwasupco"")","60,46%","60,46%","Xóm Vật Lại, xã Thịnh Minh, thành phố Hòa Bình, tỉnh Hòa Bình",Sản xuất và cung cấp nước sạch,,0.6046,0.6046,,
4,4,4,"Công ty TNHH Điện gió Hướng Phùng (""Hướng Phùng"") (*)","98,87%","98,87%","Số 3 Nguyễn Viết Xuân, thị trấn Khe Sanh, huyện Hướng Hóa, tỉnh Quảng Trị","Sản xuất, truyền tải và phân phối điện gió",,0.9887,0.9887,,
5,5,5,Công Ty Cổ Phần Năng Lượng GELEX Quảng Trị (*),"98,65%","98,65%","Số 3 Nguyễn Viết Xuân, thị trấn Khe Sanh, huyện Hướng Hóa, tỉnh Quảng Trị","Sản xuất, truyền tải và phân phối điện gió",,0.9865,0.9865,,
6,6,6,Công Ty Cổ Phần Năng Lượng GELEX Đắk Lắk (*),80%,80%,"Số 21, đường Hoàng Hoa Thám, phường Tân Tiến, thành phố Buôn Ma Thuột, tỉnh Đắk Lắk","Sản xuất, truyền tải và phân phối điện gió",,0.8,0.8,,
7,7,7,Công ty Cổ phần Hạ tầng Gelex Tây Ninh (*),98%,98%,"Số 087, đường Huỳnh Văn Lợi, khu phố 1, phường 2, thành phố Tây Ninh, tỉnh Tây Ninh","Sản xuất, truyền tải và phân phối điện gió",,0.98,0.98,,
8,8,8,Công ty Cổ phần Dịch vụ Năng lượng Gelex,51%,51%,"Số 52 phố Lê Đại Hành, phường Lê Đại Hành, quận Hai Bà Trưng, thành phố Hà Nội","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,0.51,0.51,,
9,9,9,Công ty Cổ phần Năng lượng Đông Hải,88%,88%,"Lô A23, khu công nghiệp Sống Thần 3, đường Điện Biên Phủ, phường Phú Tân, thành phố Thủ Dầu Một, tỉnh Bình Dương","Sản xuất, truyền tải và phân phối điện mặt trời",,0.88,0.88,,
10,10,10,"Công ty TNHH Một thành viên GELEX Land (""Gelex Land"")",100%,100%,"Số 52 Lê Đại Hành, quận Hai Bà Trưng, thành phố Hà Nội",Kinh doanh bất động sản,,1.0,1.0,,
