row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năngtrả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năngtrả nợ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải trả người bán,Ngắn hạn > Phải trả người bán,Phải trả người bán,2.955.909.211.979,2.955.909.211.979,1.099.833.439.252,1.099.847.497.132,2955909211979.0,2955909211979.0,1099833439252.0,1099847497132.0
- LS Nikko Cooper Inc (*),Ngắn hạn > - LS Nikko Cooper Inc (*),- LS Nikko Cooper Inc (*),2.060.986.873.312,2.060.986.873.312,101.425.278.187,101.425.278.187,2060986873312.0,2060986873312.0,101425278187.0,101425278187.0
"- Mitsui & Co., Ltd","Ngắn hạn > - Mitsui & Co., Ltd","- Mitsui & Co., Ltd",99.827.162.013,99.827.162.013,220.751.172.787,220.751.172.787,99827162013.0,99827162013.0,220751172787.0,220751172787.0
- Phải trả đối tượng khác,Ngắn hạn > - Phải trả đối tượng khác,- Phải trả đối tượng khác,795.095.176.654,795.095.176.654,777.656.988.278,777.671.046.158,795095176654.0,795095176654.0,777656988278.0,777671046158.0
Phải trả bên liên quan(Thuyết minh số 34),Ngắn hạn > Phải trả bên liên quan(Thuyết minh số 34),Phải trả bên liên quan(Thuyết minh số 34),8.606.526.446,8.606.526.446,33.052.432.203,33.038.374.323,8606526446.0,8606526446.0,33052432203.0,33038374323.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,2.964.515.738.425,2.964.515.738.425,1.132.885.871.455,1.132.885.871.455,2964515738425.0,2964515738425.0,1132885871455.0,1132885871455.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Phải trả cho người bán,Dài hạn > Phải trả cho người bán,Phải trả cho người bán,-,-,22.352.450.000,22.352.450.000,,,22352450000.0,22352450000.0
- Công ty Cổ phần Cơđiện và thiết bị điệnMechalex,Dài hạn > - Công ty Cổ phần Cơđiện và thiết bị điệnMechalex,- Công ty Cổ phần Cơđiện và thiết bị điệnMechalex,-,-,22.352.450.000,22.352.450.000,,,22352450000.0,22352450000.0
Phải trả cho các bên liênquan(Thuyết minh số 34),Dài hạn > Phải trả cho các bên liênquan(Thuyết minh số 34),Phải trả cho các bên liênquan(Thuyết minh số 34),72.620.064.000,72.620.064.000,22.345.000.000,22.345.000.000,72620064000.0,72620064000.0,22345000000.0,22345000000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,72.620.064.000,72.620.064.000,44.697.450.000,44.697.450.000,72620064000.0,72620064000.0,44697450000.0,44697450000.0
