row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,75.510.099.329,21.537.107.316,75510099329.0,21537107316.0
"Lãi từ thanh lý, nhượng bán tài sản cố định","Lãi từ thanh lý, nhượng bán tài sản cố định","Lãi từ thanh lý, nhượng bán tài sản cố định",1.815.170.532,8.686.668.491,1815170532.0,8686668491.0
"Tiền phạt, bồi thường thu được","Tiền phạt, bồi thường thu được","Tiền phạt, bồi thường thu được",12.921.169.116,4.414.631.884,12921169116.0,4414631884.0
Hỗ trợ lãi suất,Hỗ trợ lãi suất,Hỗ trợ lãi suất,2.120.626.354,3.918.064.167,2120626354.0,3918064167.0
Lãi từ giao dịch mua công ty con (*),Lãi từ giao dịch mua công ty con (*),Lãi từ giao dịch mua công ty con (*),38.844.888.312,-,38844888312.0,
Các khoản khác,Các khoản khác,Các khoản khác,19.808.245.015,4.517.742.774,19808245015.0,4517742774.0
Chi phí khác,Chi phí khác,Chi phí khác,11.025.161.423,84.435.927.150,11025161423.0,84435927150.0
"Lỗ từ thanh lý, nhượng bán tài sản cố định","Lỗ từ thanh lý, nhượng bán tài sản cố định","Lỗ từ thanh lý, nhượng bán tài sản cố định",3.969.409.736,149.723.321,3969409736.0,149723321.0
Chi phí xử lý sự cố ô nhiễm nguồn nước,Chi phí xử lý sự cố ô nhiễm nguồn nước,Chi phí xử lý sự cố ô nhiễm nguồn nước,-,76.302.752.694,,76302752694.0
Các khoản phạt,Các khoản phạt,Các khoản phạt,2.823.754.327,2.787.118.381,2823754327.0,2787118381.0
Các khoản khác,Các khoản khác,Các khoản khác,4.231.997.360,5.196.332.754,4231997360.0,5196332754.0
(Lỗ)/LỢI NHUẬN KHÁC,(Lỗ)/LỢI NHUẬN KHÁC,(Lỗ)/LỢI NHUẬN KHÁC,64.484.937.906,(62.898.819.834),64484937906.0,-62898819834.0
