row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Số dư thư tín dụng (LC) phải trả ngân hàng (i),Ngắn hạn > Số dư thư tín dụng (LC) phải trả ngân hàng (i),Số dư thư tín dụng (LC) phải trả ngân hàng (i),2.538.563.480.447,1.537.410.577.715,2538563480447.0,1537410577715.0
"Nhận ký quỹ, ký cược ngắn hạn (ii)","Ngắn hạn > Nhận ký quỹ, ký cược ngắn hạn (ii)","Nhận ký quỹ, ký cược ngắn hạn (ii)",30.188.621.038,53.034.442.737,30188621038.0,53034442737.0
Nhận đặt cọc thực hiện dự án,Ngắn hạn > Nhận đặt cọc thực hiện dự án,Nhận đặt cọc thực hiện dự án,20.000.000.000,20.000.000.000,20000000000.0,20000000000.0
"Nhận tạm ứng kinh phí bồi thường, hỗ trợ di đời","Ngắn hạn > Nhận tạm ứng kinh phí bồi thường, hỗ trợ di đời","Nhận tạm ứng kinh phí bồi thường, hỗ trợ di đời",-,40.000.000.000,,40000000000.0
Nhận tạm ứng chuyển nhượng các khoản đầu tư,Ngắn hạn > Nhận tạm ứng chuyển nhượng các khoản đầu tư,Nhận tạm ứng chuyển nhượng các khoản đầu tư,-,39.940.000.000,,39940000000.0
Phải trả liên quan đến dịch vụ xuất khẩu lao động,Ngắn hạn > Phải trả liên quan đến dịch vụ xuất khẩu lao động,Phải trả liên quan đến dịch vụ xuất khẩu lao động,-,15.168.354.687,,15168354687.0
Cổ tức phải trả,Ngắn hạn > Cổ tức phải trả,Cổ tức phải trả,8.439.771.459,8.852.030.470,8439771459.0,8852030470.0
Khác,Ngắn hạn > Khác,Khác,27.752.054.205,49.156.467.132,27752054205.0,49156467132.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,2.624.943.927.149,1.763.561.872.741,2624943927149.0,1763561872741.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận ký quỹ, ký cược dài hạn","Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",20.519.332.766,39.269.794.209,20519332766.0,39269794209.0
Khác,Dài hạn > Khác,Khác,-,681.766.600,,681766600.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,20.519.332.766,39.951.560.809,20519332766.0,39951560809.0
