row_label_raw,row_label_full,col_0,Thuyết minh,"Số đầu năm > Giá trị, đồng thời là số có khả năng trả nợ",Số đầu năm > Tăng,Phát sinh trong năm > Giảm,Phát sinh trong năm > Giảm do thoái vốn công ty con,Phát sinh trong năm > Tăng do hợp nhất kinh doanh,"Phát sinh trong năm > Giá trị, đồng thời là số có khả năng trả nợ",Đơn vị tính: VND Số cuối năm,numeric__Thuyết minh,"numeric__Số đầu năm > Giá trị, đồng thời là số có khả năng trả nợ",numeric__Số đầu năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Phát sinh trong năm > Giảm do thoái vốn công ty con,numeric__Phát sinh trong năm > Tăng do hợp nhất kinh doanh,"numeric__Phát sinh trong năm > Giá trị, đồng thời là số có khả năng trả nợ",numeric__Đơn vị tính: VND Số cuối năm
Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,,,,,,,,
Vay ngân hàng,Vay và nợ ngắn hạn > Vay ngân hàng,Vay ngân hàng,22.1,2.664.495.069.166,14.605.947.716.076,(14.414.572.933.254),(45.904.444.435),308.570.272.035,3.118.535.679.588,,221.0,2664495069166.0,14605947716076.0,-14414572933254.0,-45904444435.0,308570272035.0,3118535679588.0,
Vay từ đối tượng khác,Vay và nợ ngắn hạn > Vay từ đối tượng khác,Vay từ đối tượng khác,22.3,137.758.938.780,1.961.266.245.367,(1.522.651.334.553),(139.700.000.000),-,436.673.849.594,,223.0,137758938780.0,1961266245367.0,-1522651334553.0,-139700000000.0,,436673849594.0,
Trái phiếu ngắn hạn,Vay và nợ ngắn hạn > Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,22.4,199.872.777.781,127.222.219,(200.000.000.000),-,-,-,,224.0,199872777781.0,127222219.0,-200000000000.0,,,,
Trái phiếu dài hạn đến hạn trả,Vay và nợ ngắn hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,22.4,806.093.393.481,553.144.973.452,(810.000.000.000),-,-,549.238.366.933,,224.0,806093393481.0,553144973452.0,-810000000000.0,,,549238366933.0,
Vay dài hạn đến hạn trả,Vay và nợ ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,22.2,200.634.370.663,230.690.470.624,(196.529.559.023),(10.733.938.096),-,224.061.344.168,,222.0,200634370663.0,230690470624.0,-196529559023.0,-10733938096.0,,224061344168.0,
TỔNG CỘNG,Vay và nợ ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,4.008.854.549.871,17.351.176.627.738,(17.143.753.826.830),(196.338.382.531),308.570.272.035,4.328.509.240.283,,,4008854549871.0,17351176627738.0,-17143753826830.0,-196338382531.0,308570272035.0,4328509240283.0,
Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,,,,,,,,
Vay ngân hàng,Vay và nợ dài hạn > Vay ngân hàng,Vay ngân hàng,22.2,1.729.331.127.961,483.043.252.089,(245.723.398.682),(118.768.632.382),-,1.847.882.348.986,,222.0,1729331127961.0,483043252089.0,-245723398682.0,-118768632382.0,,1847882348986.0,
Trái phiếu,Vay và nợ dài hạn > Trái phiếu,Trái phiếu,22.4,2.832.622.573.195,4.157.068.722.207,(1.085.362.149.739),-,-,5.904.329.145.663,,224.0,2832622573195.0,4157068722207.0,-1085362149739.0,,,5904329145663.0,
TỔNG CỘNG,Vay và nợ dài hạn > TỔNG CỘNG,TỔNG CỘNG,,4.561.953.701.156,4.640.111.974.296,(1.331.085.548.421),(118.768.632.382),-,7.752.211.494.649,,,4561953701156.0,4640111974296.0,-1331085548421.0,-118768632382.0,,7752211494649.0,
