row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước(Trình bày lại)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,1.197.195.362.898,1.070.953.104.964,1197195362898.0,1070953104964.0
Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,239.439.072.580,214.190.620.993,239439072580.0,214190620993.0
Các khoản điều chỉnh,Các khoản điều chỉnh,Các khoản điều chỉnh,Các khoản điều chỉnh,Các khoản điều chỉnh,,
Chi phí lãi vay vượt ngưỡng được khấu trừ,Các khoản điều chỉnh > Chi phí lãi vay vượt ngưỡng được khấu trừ,Chi phí lãi vay vượt ngưỡng được khấu trừ,31.710.092.010,45.249.623.185,31710092010.0,45249623185.0
Chi phí không được khấu trừ khác,Các khoản điều chỉnh > Chi phí không được khấu trừ khác,Chi phí không được khấu trừ khác,11.958.931.968,13.688.898.557,11958931968.0,13688898557.0
Tài sản thuế TNDN hoãn lại chưa ghi nhận đối với lỗ tính thuế,Các khoản điều chỉnh > Tài sản thuế TNDN hoãn lại chưa ghi nhận đối với lỗ tính thuế,Tài sản thuế TNDN hoãn lại chưa ghi nhận đối với lỗ tính thuế,30.225.997.600,16.564.412.894,30225997600.0,16564412894.0
Điều chỉnh hợp nhất không chịu thuế,Các khoản điều chỉnh > Điều chỉnh hợp nhất không chịu thuế,Điều chỉnh hợp nhất không chịu thuế,8.213.923.140,10.383.384.997,8213923140.0,10383384997.0
Điều chỉnh chi phí thuế TNDN trích thiếu trong những năm trước theo quyết định thanh tra thuế,Các khoản điều chỉnh > Điều chỉnh chi phí thuế TNDN trích thiếu trong những năm trước theo quyết định thanh tra thuế,Điều chỉnh chi phí thuế TNDN trích thiếu trong những năm trước theo quyết định thanh tra thuế,527.255.702,2.106.243.645,527255702.0,2106243645.0
Tiền thuế nộp thừa các năm trước được bù trừ trong kỳ này (*),Các khoản điều chỉnh > Tiền thuế nộp thừa các năm trước được bù trừ trong kỳ này (*),Tiền thuế nộp thừa các năm trước được bù trừ trong kỳ này (*),(4.633.877.060),-,-4633877060.0,
Chi phí lãi vay (năm trước bị loại) được khấu trừ trong năm này (**),Các khoản điều chỉnh > Chi phí lãi vay (năm trước bị loại) được khấu trừ trong năm này (**),Chi phí lãi vay (năm trước bị loại) được khấu trừ trong năm này (**),(7.914.065.872),-,-7914065872.0,
"Cổ tức, lợi nhuận được chia","Các khoản điều chỉnh > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",(26.494.032.020),(23.891.793.500),-26494032020.0,-23891793500.0
"Thuế TNDN được miễn, giảm","Các khoản điều chỉnh > Thuế TNDN được miễn, giảm","Thuế TNDN được miễn, giảm",(41.253.183.101),(26.376.235.312),-41253183101.0,-26376235312.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(24.236.113.504),(1.917.952.765),-24236113504.0,-1917952765.0
Chi phí thuế TNDN,Các khoản điều chỉnh > Chi phí thuế TNDN,Chi phí thuế TNDN,217.544.001.443,249.997.202.694,217544001443.0,249997202694.0
