row_label_raw,row_label_full,Bên liên quan > Công ty Đây đồng Việt Nam – CFT,Mối quan hệ > Công ty liên kết tới ngày 28 tháng 8 năm 2020,"Nội dung nghiệp vụ > Doanh thu hàng hóa và cung cấp dịch vụMua hàng hóa, dịch vụCổ tức nhận đượcLãi bán hàng trả chậm",Năm nay > 888.277.334.66962.689.427.48421.810.000.0004.270.055.164,Đơn vị tính: VND > Năm trước44.491.818.835752.204.428.909-,numeric__Mối quan hệ > Công ty liên kết tới ngày 28 tháng 8 năm 2020,"numeric__Nội dung nghiệp vụ > Doanh thu hàng hóa và cung cấp dịch vụMua hàng hóa, dịch vụCổ tức nhận đượcLãi bán hàng trả chậm",numeric__Năm nay > 888.277.334.66962.689.427.48421.810.000.0004.270.055.164,numeric__Đơn vị tính: VND > Năm trước44.491.818.835752.204.428.909-
Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,Công ty liên kết,"Cổ tức, lợi nhuận được chiaDoanh thu cung cấp dịch vụ",16.100.000.0001.269.000.000,64.400.000.0001.269.000.000,,,1.61000000001269e+20,6.44000000001269e+20
Tổng Công ty Thiết bị điện Đông Anh – Công ty Cổ phần,Tổng Công ty Thiết bị điện Đông Anh – Công ty Cổ phần,Tổng Công ty Thiết bị điện Đông Anh – Công ty Cổ phần,Công ty liên kết,Mua hàng hóa và dịch vụDoanh thu bán hàng và cung cấp dịch vụCổ tức nhận được,223.233.426.770100.118.497.89310.549.744.500,178.669.976.38252.641.700.98410.549.744.500,,,2.232334267701001e+34,1.786699763825264e+33
Công ty Liên Doanh Phát Triển Tiếp Vận Số 1,Công ty Liên Doanh Phát Triển Tiếp Vận Số 1,Công ty Liên Doanh Phát Triển Tiếp Vận Số 1,Công ty liên kết tới ngày 30 tháng 6 năm 2020,"Doanh thu bán hàng và cung cấp dịch vụCổ tức, lợi nhuận được chia",20.530.958.173-,47.397.401.95047.360.000.000,,,,4.73974019504736e+21
Tổng Công ty Viglacera – CTCP,Tổng Công ty Viglacera – CTCP,Tổng Công ty Viglacera – CTCP,Công ty liên kết,"Cổ tức, lợi nhuận được chia",123.120.360.000,111.927.600.000,,,123120360000.0,111927600000.0
Công ty Cổ phần Căng Đồng Nai,Công ty Cổ phần Căng Đồng Nai,Công ty Cổ phần Căng Đồng Nai,Công ty liên kết tố ngày 13 tháng 5 năm 2020,"Cổ tức, lợi nhuận được chia",5.625.000.000,6.250.000.000,,,5625000000.0,6250000000.0
Công ty Cổ phần Chế tạo Bom Hải Dương,Công ty Cổ phần Chế tạo Bom Hải Dương,Công ty Cổ phần Chế tạo Bom Hải Dương,Cùng thành viên HĐQT đến ngày 30 tháng 6 năm 2020,Doanh thu bán hàng hóa và cung cấp dịch vụMua trái phiếu kinh doanh,35.741.568.36328.545.194.524,44.187.551.639-,,,3.574156836328545e+21,
"Công ty Cổ phần Chứng khoán VIX [""trước đầy là Công ty Cổ phần Chứng khoán IB""]","Công ty Cổ phần Chứng khoán VIX [""trước đầy là Công ty Cổ phần Chứng khoán IB""]","Công ty Cổ phần Chứng khoán VIX [""trước đầy là Công ty Cổ phần Chứng khoán IB""]",Bên liên quan khác,Mua trái phiếu kinh doanhBán trái phiếu kinh doanhTất toán mệnh giá trái phiếuMua dịch vụDoanh thu cung cấp dịch vụLãi trái phiếu đã nhận,1.199.640.246.9491.596.410.799.691-29.827.263.2202.849.148.339-,391.667.161.585616.786.326.43575.000.000.0001.791.000.6143.085.455.1164.040.854.311,,,,3.916671615856168e+64
Công ty Cổ phần Viwaco,Công ty Cổ phần Viwaco,Công ty Cổ phần Viwaco,Cùng thành viên HĐQT đến ngày 19 tháng 3 năm 2020,Doanh thu cung cấp nước sạch,52.533.998.886,366.926.227.299,,,52533998886.0,366926227299.0
