row_label_raw,row_label_full,STT,Họ tên,Chức danhChủ tịch từ ngày 20 tháng8 năm 2020,Năm nay,Năm trước,numeric__Họ tên,numeric__Chức danhChủ tịch từ ngày 20 tháng8 năm 2020,numeric__Năm nay,numeric__Năm trước
1,1,1,Nguyễn Hoa Cương,Thành viên,1.165.000.000,240.000.000,,,1165000000.0,240000000.0
2,2,2,Nguyễn Trọng Tiểu,Phó Chủ tịchPhó Chủ tịch từ ngày 20tháng 8 năm 2020,240.000.000,240.000.000,,,240000000.0,240000000.0
3,3,3,Nguyễn Trọng Hiền,Thành viên từ ngày 18tháng 6 năm 2020Phó Chủ tịch từ ngày 20tháng 8 năm 2020,1.250.000.000,-,,,1250000000.0,
4,4,4,Lương Thanh Tùng,Thành viên từ ngày 18tháng 6 năm 2020Chủ tịch đến ngày 19tháng 8 năm 2020,140.000.000,-,,,140000000.0,
5,5,5,Nguyễn Văn Tuấn,Thành viên,275.000.000,300.000.000,,,275000000.0,300000000.0
6,6,6,Võ Anh Linh,Thành viênPhó Chủ tịch đến ngày 17tháng 6 năm 2020,2.040.000.000,1.440.000.000,,,2040000000.0,1440000000.0
7,7,7,Đỗ Thị Phương Lan,Thành viên đến ngày 17tháng 6 năm 2020,120.000.000,240.000.000,,,120000000.0,240000000.0
8,8,8,Nguyễn Thị Bích Ngọc,Thành viên đến ngày 17tháng 6 năm 2020Người phụ trách quản trị,120.000.000,240.000.000,,,120000000.0,240000000.0
9,9,9,Phạm Tuấn Anh,Công ty,60.000.000,60.000.000,,,60000000.0,60000000.0
,,,TỔNG CỘNG (*),,5.410.000.000,2.760.000.000,,,5410000000.0,2760000000.0
