row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Tài sản khác (*),Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Tài sản khác (*),numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,179.830.838.201,101.586.313.683,281.417.151.884,179830838201.0,101586313683.0,281417151884.0
Phân loại từ tài sản cố định hữu hình (Thuyết minh số 11),Nguyên giá: > Phân loại từ tài sản cố định hữu hình (Thuyết minh số 11),Phân loại từ tài sản cố định hữu hình (Thuyết minh số 11),9.412.448.014,5.386.124.614,14.798.572.628,9412448014.0,5386124614.0,14798572628.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,189.243.286.215,106.972.438.297,296.215.724.512,189243286215.0,106972438297.0,296215724512.0
Trong đó:Dã hao mòn hết,Nguyên giá: > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,-,4.414.872.669,4.414.872.669,,4414872669.0,4414872669.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,19.909.952.125,42.679.186.275,62.589.138.400,19909952125.0,42679186275.0,62589138400.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,3.862.622.370,10.114.687.782,13.977.310.152,3862622370.0,10114687782.0,13977310152.0
Phân loại từ tài sản cố định hữu hình (Thuyết minh số 11),Giá trị khấu hao lũy kế: > Phân loại từ tài sản cố định hữu hình (Thuyết minh số 11),Phân loại từ tài sản cố định hữu hình (Thuyết minh số 11),987.013.558,2.416.208.102,3.403.221.660,987013558.0,2416208102.0,3403221660.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,24.759.588.053,55.210.082.159,79.969.670.212,24759588053.0,55210082159.0,79969670212.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,159.920.886.076,58.907.127.408,218.828.013.484,159920886076.0,58907127408.0,218828013484.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,164.483.698.162,51.762.356.138,216.246.054.300,164483698162.0,51762356138.0,216246054300.0
