row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > Công ty Cổ phần Viwaco > Công ty Cổ phần Chế tạo Bom Hải Dương,Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > Cùng thành viên HĐQT đến ngày 19 tháng 3 năm 2020 > Cùng thành viên HĐQT đến ngày 30 tháng 6 năm 2020,Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > Doanh thu nước sạch > Bán hàng và cung cấp dịch vụ,Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > -,Đơn vị tính: VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > 69.110.274.359 > 51.558.885.338,numeric__Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > Cùng thành viên HĐQT đến ngày 19 tháng 3 năm 2020 > Cùng thành viên HĐQT đến ngày 30 tháng 6 năm 2020,numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > Doanh thu nước sạch > Bán hàng và cung cấp dịch vụ,numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > -,numeric__Đơn vị tính: VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > 69.110.274.359 > 51.558.885.338
Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,Công ty liên kết,Bán hàng và cung cấp dịch vụ,11.104.052.802,494.968.397,,,11104052802.0,494968397.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,Khác,-,11.234.833.581,,,,11234833581.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,11.104.052.802,132.398.961.675,,,11104052802.0,132398961675.0
Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),,,,
Công ty Dây đồng Việt Nam - CFT,Phải trả người bán ngắn hạn (Thuyết minh số 18.1) > Công ty Dây đồng Việt Nam - CFT,Công ty Dây đồng Việt Nam - CFT,Công ty liên kết tới ngày 28 tháng 8 năm 2020,Mua hàng hóa,-,32.149.858.433,,,,32149858433.0
Tổng Công ty Thiết bị Điện Đông Anh – Công ty Cổ phần,Phải trả người bán ngắn hạn (Thuyết minh số 18.1) > Tổng Công ty Thiết bị Điện Đông Anh – Công ty Cổ phần,Tổng Công ty Thiết bị Điện Đông Anh – Công ty Cổ phần,Công ty liên kết,Mua hàng hóa,8.442.267.978,870.142.070,,,8442267978.0,870142070.0
Các bên liên quan khác,Phải trả người bán ngắn hạn (Thuyết minh số 18.1) > Các bên liên quan khác,Các bên liên quan khác,Bên liên quan khác,Mua dịch vụ,164.258.468,32.431.700,,,164258468.0,32431700.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (Thuyết minh số 18.1) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,8.606.526.446,33.052.432.203,,,8606526446.0,33052432203.0
Phải trả người bán dài hạn (Thuyết minh số 18.1),Phải trả người bán dài hạn (Thuyết minh số 18.1),Phải trả người bán dài hạn (Thuyết minh số 18.1),Phải trả người bán dài hạn (Thuyết minh số 18.1),Phải trả người bán dài hạn (Thuyết minh số 18.1),Phải trả người bán dài hạn (Thuyết minh số 18.1),Phải trả người bán dài hạn (Thuyết minh số 18.1),,,,
Tổng Công ty Thiết bị Điện Đông Anh – Công ty Cổ phần,Phải trả người bán dài hạn (Thuyết minh số 18.1) > Tổng Công ty Thiết bị Điện Đông Anh – Công ty Cổ phần,Tổng Công ty Thiết bị Điện Đông Anh – Công ty Cổ phần,Công ty liên kết,"Mua vật tư, thiết bị",72.620.064.000,22.345.000.000,,,72620064000.0,22345000000.0
TỔNG CỘNG,Phải trả người bán dài hạn (Thuyết minh số 18.1) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,72.620.064.000,22.345.000.000,,,72620064000.0,22345000000.0
