row_label_raw,row_label_full,Bên liên quan > Người mua trả tiền trước ngắn hạn (Thuyết minh số 18.2),Mối quan hệ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 18.2),Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 18.2),Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 18.2),Đơn vị tính: VND Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 18.2),numeric__Mối quan hệ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 18.2),numeric__Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 18.2),numeric__Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 18.2),numeric__Đơn vị tính: VND Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 18.2)
Tổng Công ty Thiết bị Điện Đông Anh – Công ty Cổ phần,Tổng Công ty Thiết bị Điện Đông Anh – Công ty Cổ phần,Tổng Công ty Thiết bị Điện Đông Anh – Công ty Cổ phần,Công ty liên kết,Trả trước tiền mua hàng,-,5.403.109.302,,,,5403109302.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,-,5.403.109.302,,,,5403109302.0
Chi phí phải trả ngắn hạn (Thuyết minh số 20),Chi phí phải trả ngắn hạn (Thuyết minh số 20),Chi phí phải trả ngắn hạn (Thuyết minh số 20),Chi phí phải trả ngắn hạn (Thuyết minh số 20),Chi phí phải trả ngắn hạn (Thuyết minh số 20),Chi phí phải trả ngắn hạn (Thuyết minh số 20),Chi phí phải trả ngắn hạn (Thuyết minh số 20),,,,
Công ty Cổ phần Chứng khoán VIX [“trước đây là Công ty Cổ phần Chứng khoán IB”],Chi phí phải trả ngắn hạn (Thuyết minh số 20) > Công ty Cổ phần Chứng khoán VIX [“trước đây là Công ty Cổ phần Chứng khoán IB”],Công ty Cổ phần Chứng khoán VIX [“trước đây là Công ty Cổ phần Chứng khoán IB”],Bên liên quan khác,Phí dịch vụ,3.576.733.333,-,,,3576733333.0,
Công ty Dây đồng Việt Nam CFT,Chi phí phải trả ngắn hạn (Thuyết minh số 20) > Công ty Dây đồng Việt Nam CFT,Công ty Dây đồng Việt Nam CFT,Công ty liên kết tới ngày 28 tháng 8 năm 2020,Tiền thuê đất trả hộ,-,951.125.714,,,,951125714.0
TỔNG CỘNG,Chi phí phải trả ngắn hạn (Thuyết minh số 20) > TỔNG CỘNG,TỔNG CỘNG,,,3.576.733.333,951.125.714,,,3576733333.0,951125714.0
Phải trả ngắn hạn khác (Thuyết minh số 21),Phải trả ngắn hạn khác (Thuyết minh số 21),Phải trả ngắn hạn khác (Thuyết minh số 21),Phải trả ngắn hạn khác (Thuyết minh số 21),Phải trả ngắn hạn khác (Thuyết minh số 21),Phải trả ngắn hạn khác (Thuyết minh số 21),Phải trả ngắn hạn khác (Thuyết minh số 21),,,,
Công ty TNHH Phát triển Bắt động sản SORECO,Phải trả ngắn hạn khác (Thuyết minh số 21) > Công ty TNHH Phát triển Bắt động sản SORECO,Công ty TNHH Phát triển Bắt động sản SORECO,Công ty liên kết tới 30 tháng 6 năm 2020,Nhận ứng trước tiền hỗ trợ di đời,-,40.000.000.000,,,,40000000000.0
TỔNG CỘNG,Phải trả ngắn hạn khác (Thuyết minh số 21) > TỔNG CỘNG,TỔNG CỘNG,,,-,40.000.000.000,,,,40000000000.0
