row_label_raw,row_label_full,col_0,Băng cản đối kế toán hợp nhất,Băng cản đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Băng cản đối kế toán hợp nhất,numeric__Băng cản đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Thu nhập từ bồi thường di đời chưa thực hiện trong công ty liên kết,Tài sản thuế thu nhập hoãn lại > Thu nhập từ bồi thường di đời chưa thực hiện trong công ty liên kết,Thu nhập từ bồi thường di đời chưa thực hiện trong công ty liên kết,-,7.210.119.673,-,-,,7210119673.0,,
Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,Tài sản thuế thu nhập hoãn lại > Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,4.395.047.945,-,(519.112.669),-,4395047945.0,,-519112669.0,
Trích lập các khoản dự phòng,Tài sản thuế thu nhập hoãn lại > Trích lập các khoản dự phòng,Trích lập các khoản dự phòng,5.263.598.233,11.431.538.821,(887.957.534),7.921.944.040,5263598233.0,11431538821.0,-887957534.0,7921944040.0
Lợi nhuận chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,2.514.301.538,11.668.881.919,(9.154.580.381),11.559.395.953,2514301538.0,11668881919.0,-9154580381.0,11559395953.0
Khác,Tài sản thuế thu nhập hoãn lại > Khác,Khác,-,413.701.163,24.203.995,(4.685.465.610),,413701163.0,24203995.0,-4685465610.0
,,,12.172.947.716,30.724.241.576,,,12172947716.0,30724241576.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,Thuế thu nhập hoãn lại phải trả > Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,(136.935.268.307),(166.002.099.305),2.705.733.269,2.895.627.351,-136935268307.0,-166002099305.0,2705733269.0,2895627351.0
,,,(136.935.268.307),(166.002.099.305),,,-136935268307.0,-166002099305.0,,
(Chi phí)/thu nhập thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > (Chi phí)/thu nhập thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,(Chi phí)/thu nhập thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,,,(7.831.713.320),17.691.501.734,,,-7831713320.0,17691501734.0
