row_label_raw,row_label_full,Số đầu năm > Trích lập quỹ trong năm (Thuyết minh số 26.1),Năm nay > 33.503.307.190 > 47.101.411.772,Đơn vị tính: VND > Năm trước > 55.007.978.764 > 31.273.581.803,numeric__Năm nay > 33.503.307.190 > 47.101.411.772,numeric__Đơn vị tính: VND > Năm trước > 55.007.978.764 > 31.273.581.803
Giảm do thoái vốn tại công ty con,Giảm do thoái vốn tại công ty con,Giảm do thoái vốn tại công ty con,(8.923.765.248),-,-8923765248.0,
Tăng khác,Tăng khác,Tăng khác,1.967.132.763,2.870.291.517,1967132763.0,2870291517.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,(24.566.980.804),(55.648.544.894),-24566980804.0,-55648544894.0
Số cuối năm,Số cuối năm,Số cuối năm,49.081.105.673,33.503.307.190,49081105673.0,33503307190.0
