row_label_raw,row_label_full,Vào ngày 31 tháng 12 năm 2020 và cho nămtài chính kết thúc cùng ngày,Sản xuất và kinh doanh thiết bị điện > Vào ngày 31 tháng 12 năm 2020 và cho nămtài chính kết thúc cùng ngày,Cung cấp dịch vụ vận tải và kho vận > Vào ngày 31 tháng 12 năm 2020 và cho nămtài chính kết thúc cùng ngày,Sản xuất và kinh doanh măng năng lượng > Vào ngày 31 tháng 12 năm 2020 và cho nămtài chính kết thúc cùng ngày,Khác > Vào ngày 31 tháng 12 năm 2020 và cho nămtài chính kết thúc cùng ngày,Loại trừ > Vào ngày 31 tháng 12 năm 2020 và cho nămtài chính kết thúc cùng ngày,Đơn vị tính: VND > Vào ngày 31 tháng 12 năm 2020 và cho nămtài chính kết thúc cùng ngày,numeric__Sản xuất và kinh doanh thiết bị điện > Vào ngày 31 tháng 12 năm 2020 và cho nămtài chính kết thúc cùng ngày,numeric__Cung cấp dịch vụ vận tải và kho vận > Vào ngày 31 tháng 12 năm 2020 và cho nămtài chính kết thúc cùng ngày,numeric__Sản xuất và kinh doanh măng năng lượng > Vào ngày 31 tháng 12 năm 2020 và cho nămtài chính kết thúc cùng ngày,numeric__Khác > Vào ngày 31 tháng 12 năm 2020 và cho nămtài chính kết thúc cùng ngày,numeric__Loại trừ > Vào ngày 31 tháng 12 năm 2020 và cho nămtài chính kết thúc cùng ngày,numeric__Đơn vị tính: VND > Vào ngày 31 tháng 12 năm 2020 và cho nămtài chính kết thúc cùng ngày
Doanh thu,Doanh thu,Doanh thu,16.097.749.113.376,759.265.653.269,897.790.362.607,193.907.793.184,-,17.948.712.922.436,16097749113376.0,759265653269.0,897790362607.0,193907793184.0,,17948712922436.0
Kết quả,Kết quả,Kết quả,,,,,,,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,1.991.413.800.528,151.440.740.630,429.123.631.267,55.211.693.564,-,2.627.189.865.989(1.429.994.503.091),1991413800528.0,151440740630.0,429123631267.0,55211693564.0,,
Thu nhập/(chi phí) không phân bổ (*),Kết quả > Thu nhập/(chi phí) không phân bổ (*),Thu nhập/(chi phí) không phân bổ (*),,,,,,1.197.195.362.898,,,,,,1197195362898.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,(217.544.001.443),,,,,,-217544001443.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,,,,,,,
Lợi nhuận thuần sau thuế,Chi phí thuế thu nhập doanh nghiệp > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,979.651.361.455,,,,,,979651361455.0
Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,,,,,,,,,,,,
Tải sản bộ phận,Tải sản và công nợ > Tải sản bộ phận,Tải sản bộ phận,8.987.244.961.220,-,5.675.474.564.710,369.143.548.994,-,15.031.863.074.924,8987244961220.0,,5675474564710.0,369143548994.0,,15031863074924.0
Tải sản không phân bổ (*),Tải sản và công nợ > Tải sản không phân bổ (*),Tải sản không phân bổ (*),,,,,,12.120.229.584.784,,,,,,12120229584784.0
Tổng tài sản,Tải sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,,27.152.092.659.708,,,,,,27152092659708.0
Công nợ bộ phận,Tải sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,12.190.466.467.644,-,3.198.451.749.727,49.576.518.050,-,15.438.494.735.421,12190466467644.0,,3198451749727.0,49576518050.0,,15438494735421.0
Công nợ không phân bổ (*),Tải sản và công nợ > Công nợ không phân bổ (*),Công nợ không phân bổ (*),,,,,,3.498.411.297.402,,,,,,3498411297402.0
Tổng công nợ,Tải sản và công nợ > Tổng công nợ,Tổng công nợ,,,,,,18.936.906.032.823,,,,,,18936906032823.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,
Chi phí hình thành tài sản cố định (**),Các thông tin bộ phận khác > Chi phí hình thành tài sản cố định (**),Chi phí hình thành tài sản cố định (**),356.612.004.665,101.177.232.069,1.129.750.531.564,61.460.004.512,-,1.648.999.772.810,356612004665.0,101177232069.0,1129750531564.0,61460004512.0,,1648999772810.0
Tải sản cố định hữu hình,Các thông tin bộ phận khác > Tải sản cố định hữu hình,Tải sản cố định hữu hình,276.946.041.988,101.177.232.069,1.129.750.531.564,61.390.004.512,-,1.569.263.810.133,276946041988.0,101177232069.0,1129750531564.0,61390004512.0,,1569263810133.0
Tải sản cố định vô hình,Các thông tin bộ phận khác > Tải sản cố định vô hình,Tải sản cố định vô hình,79.665.962.677,-,-,70.000.000,-,79.735.962.677,79665962677.0,,,70000000.0,,79735962677.0
Khẩu hao,Các thông tin bộ phận khác > Khẩu hao,Khẩu hao,222.144.415.626,41.599.191.059,259.798.407.358,18.481.386.769,-,542.023.400.812,222144415626.0,41599191059.0,259798407358.0,18481386769.0,,542023400812.0
Hao mòn,Các thông tin bộ phận khác > Hao mòn,Hao mòn,10.372.131.250,325.755.634,10.415.585.175,15.555.552,-,21.129.027.611,10372131250.0,325755634.0,10415585175.0,15555552.0,,21129027611.0
