row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy mócthiết bịtriệu đồng,Phương tiệnvận tàitriệu đồng,Tài sân hữu hìnhkháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy mócthiết bịtriệu đồng,numeric__Phương tiệnvận tàitriệu đồng,numeric__Tài sân hữu hìnhkháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.376.808,1.386.190,665.021,157.794,3.585.813,1376808.0,1386190.0,665021.0,157794.0,3585813.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,962.765,157.911,606.503,113.215,1.840.394,962765.0,157911.0,606503.0,113215.0,1840394.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(754),(7.321),(18.918),(11.404),(38.397),-754.0,-7321.0,-18918.0,-11404.0,-38397.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(23),(489),(178),(51),(741),-23.0,-489.0,-178.0,-51.0,-741.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.338.796,1.536.291,1.252.428,259.554,5.387.069,2338796.0,1536291.0,1252428.0,259554.0,5387069.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,264.211,1.066.017,484.287,129.295,1.943.810,264211.0,1066017.0,484287.0,129295.0,1943810.0
Chi phí khấu hao trong năm,Giá trị hao mòn luỹ kế > Chi phí khấu hao trong năm,Chi phí khấu hao trong năm,68.325,166.344,139.889,18.167,392.725,68325.0,166344.0,139889.0,18167.0,392725.0
Giảm trong năm,Giá trị hao mòn luỹ kế > Giảm trong năm,Giảm trong năm,(754),(6.498),(18.722),(11.404),(37.378),-754.0,-6498.0,-18722.0,-11404.0,-37378.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(13),(383),(169),(47),(612),-13.0,-383.0,-169.0,-47.0,-612.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,331.769,1.225.480,605.285,136.011,2.298.545,331769.0,1225480.0,605285.0,136011.0,2298545.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.112.597,320.173,180.734,28.499,1.642.003,1112597.0,320173.0,180734.0,28499.0,1642003.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,2.007.027,310.811,647.143,123.543,3.088.524,2007027.0,310811.0,647143.0,123543.0,3088524.0
