row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Quyền sử dụngđất có thời hạntriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Quyền sử dụngđất có thời hạntriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,30.813,-,30.813,30813.0,,30813.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,19.541,199.320,218.861,19541.0,199320.0,218861.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,50.354,199.320,249.674,50354.0,199320.0,249674.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,-,,,
Tăng trong năm,Số dư đầu năm > Tăng trong năm,Tăng trong năm,285,1.491,1.776,285.0,1491.0,1776.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,285,1.491,1.776,285.0,1491.0,1776.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,30.813,-,30.813,30813.0,,30813.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,50.069,197.829,247.898,50069.0,197829.0,247898.0
