row_label_raw,row_label_full,col_0,Tài chính ngân hàng triệu đồng,Chứng khoán – Quản lý quỹ triệu đồng,Bảo hiểm triệu đồng,Khai thác nợ - Quản lý tài sản triệu đồng,Loại trừ triệu đồng,Tổng công triệu đồng,numeric__Tài chính ngân hàng triệu đồng,numeric__Chứng khoán – Quản lý quỹ triệu đồng,numeric__Bảo hiểm triệu đồng,numeric__Khai thác nợ - Quản lý tài sản triệu đồng,numeric__Loại trừ triệu đồng,numeric__Tổng công triệu đồng
I. Doanh thu,I. Doanh thu,I. Doanh thu,91.871.999,2.400.091,8.994.978,1.000.878,(44.644.648),59.623.298,91871999.0,2400091.0,8994978.0,1000878.0,-44644648.0,59623298.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,75.067.623,758.025,455.033,34.127,(37.849.876),38.464.932,75067623.0,758025.0,455033.0,34127.0,-37849876.0,38464932.0
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,3.791.746,1.104.979,8.432.481,962.346,(1.983.257),12.308.295,3791746.0,1104979.0,8432481.0,962346.0,-1983257.0,12308295.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,13.012.630,537.087,107.464,4.405,(4.811.515),8.850.071,13012630.0,537087.0,107464.0,4405.0,-4811515.0,8850071.0
II. Chi phí,II. Chi phí,II. Chi phí,(67.310.623),(1.545.227),(8.444.318),(666.407),42.900.587,(35.065.988),-67310623.0,-1545227.0,-8444318.0,-666407.0,42900587.0,-35065988.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(50.369.238),(311.231),(116),-,38.415.207,(12.265.378),-50369238.0,-311231.0,-116.0,,38415207.0,-12265378.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(970.875),(23.962),(80.305),(11.052),-,(1.086.194),-970875.0,-23962.0,-80305.0,-11052.0,,-1086194.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(15.970.510),(1.210.034),(8.363.897),(655.355),4.485.380,(21.714.416),-15970510.0,-1210034.0,-8363897.0,-655355.0,4485380.0,-21714416.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,24.561.376,854.864,550.660,334.471,(1.744.061),24.557.310,24561376.0,854864.0,550660.0,334471.0,-1744061.0,24557310.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(9.738.174),(26.390),(15.185),5.637,1.744.061,(8.030.051),-9738174.0,-26390.0,-15185.0,5637.0,1744061.0,-8030051.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,14.823.202,828.474,535.475,340.108,-,16.527.259,14823202.0,828474.0,535475.0,340108.0,,16527259.0
