row_label_raw,row_label_full,col_0,Miền Bắc triệu đồng,Miền Trung triệu đồng,Miền Nam triệu đồng,Nước ngoài triệu đồng,Loại trừ triệu đồng,Tổng cộng triệu đồng,numeric__Miền Bắc triệu đồng,numeric__Miền Trung triệu đồng,numeric__Miền Nam triệu đồng,numeric__Nước ngoài triệu đồng,numeric__Loại trừ triệu đồng,numeric__Tổng cộng triệu đồng
I. Doanh thu,I. Doanh thu,I. Doanh thu,81.056.500,4.524.328,18.253.068,434.050,(44.644.648),59.623.298,81056500.0,4524328.0,18253068.0,434050.0,-44644648.0,59623298.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,56.224.798,3.920.641,15.799.724,369.645,(37.849.876),38.464.932,56224798.0,3920641.0,15799724.0,369645.0,-37849876.0,38464932.0
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,13.392.868,137.194,743.675,17.815,(1.983.257),12.308.295,13392868.0,137194.0,743675.0,17815.0,-1983257.0,12308295.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,11.438.834,466.493,1.709.669,46.590,(4.811.515),8.850.071,11438834.0,466493.0,1709669.0,46590.0,-4811515.0,8850071.0
II. Chi phí,II. Chi phí,II. Chi phí,(63.451.380),(2.871.724),(11.323.832),(319.639),42.900.587,(35.065.988),-63451380.0,-2871724.0,-11323832.0,-319639.0,42900587.0,-35065988.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(39.400.746),(2.355.583),(8.701.016),(223.240),38.415.207,(12.265.378),-39400746.0,-2355583.0,-8701016.0,-223240.0,38415207.0,-12265378.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(1.020.875),(14.961),(46.758),(3.600),-,(1.086.194),-1020875.0,-14961.0,-46758.0,-3600.0,,-1086194.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(23.029.759),(501.180),(2.576.058),(92.799),4.485.380,(21.714.416),-23029759.0,-501180.0,-2576058.0,-92799.0,4485380.0,-21714416.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,17.605.120,1.652.604,6.929.236,114.411,(1.744.061),24.557.310,17605120.0,1652604.0,6929236.0,114411.0,-1744061.0,24557310.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(7.479.173),(954.899),(1.303.734),(36.306),1.744.061,(8.030.051),-7479173.0,-954899.0,-1303734.0,-36306.0,1744061.0,-8030051.0
Kết quả kinh doanh bộ phân,Kết quả kinh doanh bộ phân,Kết quả kinh doanh bộ phân,10.125.947,697.705,5.625.502,78.105,-,16.527.259,10125947.0,697705.0,5625502.0,78105.0,,16527259.0
