row_label_raw,row_label_full,Số dư đầu năm > Trích lập/(Hoàn nhập) dự phòng trong kỳ (Thuyết minh số 36),Năm 2021 triệu đồng > 46.361 > 26.424,Năm 2020 triệu đồng > 274.123 > (20.646),numeric__Năm 2021 triệu đồng > 46.361 > 26.424,numeric__Năm 2020 triệu đồng > 274.123 > (20.646)
Phân loại lại từ dự phòng đầu tư chứng khoán,Phân loại lại từ dự phòng đầu tư chứng khoán,Phân loại lại từ dự phòng đầu tư chứng khoán,-,573,,573.0
Sử dụng quỹ dự phòng,Sử dụng quỹ dự phòng,Sử dụng quỹ dự phòng,(13.272),(207.689),-13272.0,-207689.0
,,,59.513,46.361,59513.0,46361.0
